((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (14.05, 15.8>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (14.05, 15.8>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (15.8, 20.15>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
