((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((Rbodymass, (Rbodymass, (60.7, inf)) -> (Rbodymass, (60.7, inf))))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (60.7, inf))))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (-inf, 27.25>) -> (Rbodymass, (-inf, 27.25>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, inf)) -> (CD34kgx10d6, (11.855, inf))))
((Rbodymass, (Rbodymass, (-inf, 27.25>) -> (Rbodymass, (60.7, inf))))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, inf)) -> (CD34kgx10d6, (11.855, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (60.7, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)) AND (CD34kgx10d6, (CD34kgx10d6, (8.68, 11.739999999999998>) -> (CD34kgx10d6, (11.855, inf))))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)) AND (CD34kgx10d6, (CD34kgx10d6, (8.68, 11.739999999999998>) -> (CD34kgx10d6, (11.855, inf))))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (6.49, 11.885>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((CD3dCD34, (CD3dCD34, (0.8855375000000001, 5.403679500000001>) -> (CD3dCD34, (0.8855375000000001, 5.403679500000001>)) AND (CD3dkgx10d8, (CD3dkgx10d8, (4.755000000000001, 6.385>) -> (CD3dkgx10d8, (6.385, inf))) AND (PLTrecovery, (PLTrecovery, (-inf, 18.0>) -> (PLTrecovery, (-inf, 18.0>)) AND (CD34kgx10d6, (CD34kgx10d6, (6.49, 11.885>) -> (CD34kgx10d6, (11.885, inf))))
((CD3dCD34, (CD3dCD34, (0.8855375000000001, 5.403679500000001>) -> (CD3dCD34, (5.403679500000001, inf))))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (14.05, inf)) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (14.05, inf)) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.8855375000000001, 5.403679500000001>)) AND (CD3dkgx10d8, (CD3dkgx10d8, (-inf, 2.6>) -> (CD3dkgx10d8, (6.385, inf))) AND (PLTrecovery, (PLTrecovery, (26.5, 266.0>) -> (PLTrecovery, (-inf, 18.0>)) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (11.885, inf))))
((CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (5.403679500000001, inf))))
((Recipientage, (Recipientage, (14.05, inf)) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 6.49>) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (14.05, inf)) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
((Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (11.885, inf)) -> (CD34kgx10d6, (-inf, 6.49>)))
