((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (-inf, 26.5>)))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((CD34kgx10d6, (CD34kgx10d6, (8.68, 10.925>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
