((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (156.0, 160.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (156.0, 160.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (-inf, 105.0>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (-inf, 105.0>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (164.0, 174.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (156.0, 160.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (-inf, 105.0>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (174.5, inf)) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (164.0, 174.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
((hgb, (hgb, (105.0, 152.5>) -> (hgb, (152.5, 156.0>)))
