((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (60.95, 62.95>) -> (age, (-inf, 37.9>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (66.95, 68.95>)))
((age, (age, (62.95, 66.95>) -> (age, (-inf, 37.9>)))
((age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (68.95, inf))))
((age, (age, (55.15, 56.150000000000006>) -> (age, (-inf, 37.9>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (66.95, 68.95>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (68.95, inf))))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (58.85, 60.95>) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (66.95, 68.95>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (66.95, 68.95>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (56.150000000000006, 58.05>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (55.15, 56.150000000000006>) -> (age, (-inf, 37.9>)))
((age, (age, (56.150000000000006, 58.05>) -> (age, (-inf, 37.9>)))
((hgb, (hgb, (-inf, 156.0>) -> (hgb, (-inf, 156.0>)) AND (age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (58.85, 60.95>) -> (age, (-inf, 37.9>)))
((age, (age, (62.95, 66.95>) -> (age, (-inf, 37.9>)))
((age, (age, (60.95, 62.95>) -> (age, (-inf, 37.9>)))
((age, (age, (66.95, 68.95>) -> (age, (-inf, 37.9>)))
((age, (age, (-inf, 37.9>) -> (age, (-inf, 37.9>)))
((age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (58.85, 60.95>) -> (age, (-inf, 37.9>)))
((age, (age, (55.15, 56.150000000000006>) -> (age, (-inf, 37.9>)))
((age, (age, (60.95, 62.95>) -> (age, (-inf, 37.9>)))
((age, (age, (58.85, 60.95>) -> (age, (-inf, 37.9>)))
((age, (age, (60.95, 62.95>) -> (age, (-inf, 37.9>)))
((age, (age, (62.95, 66.95>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (68.95, inf)) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
((age, (age, (62.95, 66.95>) -> (age, (-inf, 37.9>)))
((age, (age, (62.95, 66.95>) -> (age, (-inf, 37.9>)))
((age, (age, (38.45, 55.15>) -> (age, (-inf, 37.9>)))
