((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (63.95, 67.55000000000001>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((hgb, (hgb, (-inf, 145.5>) -> (hgb, (155.0, 160.5>)))
((age, (age, (62.95, 63.95>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (58.85, 62.95>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (84.15, inf)) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((hgb, (hgb, (-inf, 145.5>) -> (hgb, (155.0, 160.5>)))
((hgb, (hgb, (-inf, 145.5>) -> (hgb, (155.0, 160.5>)))
((age, (age, (58.85, 62.95>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (63.95, 67.55000000000001>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (58.85, 62.95>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (63.95, 67.55000000000001>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (58.85, 62.95>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((hgb, (hgb, (-inf, 145.5>) -> (hgb, (155.0, 160.5>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (62.95, 63.95>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (155.0, 160.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (63.95, 67.55000000000001>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (58.85, 62.95>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (164.0, inf)) -> (hgb, (145.5, 153.0>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (-inf, 145.5>)))
((age, (age, (57.3, 58.85>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)))
((age, (age, (67.55000000000001, 84.15>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (153.0, 155.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (43.45, 57.3>) -> (age, (67.55000000000001, 84.15>)) AND (hgb, (hgb, (-inf, 145.5>) -> (hgb, (-inf, 145.5>)) AND (ch, (ch, {N}) -> (ch, {N})))
((age, (age, (63.95, 67.55000000000001>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (145.5, 153.0>) -> (hgb, (145.5, 153.0>)))
((age, (age, (19.0, 43.45>) -> (age, (19.0, 43.45>)) AND (hgb, (hgb, (164.0, inf)) -> (hgb, (145.5, 153.0>)))
