((age, (age, (38.75, 53.05>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (153.5, 160.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (58.7, 60.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (57.3, 58.7>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (166.5, 180.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (84.15, inf)) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (58.7, 60.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (58.7, 60.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (166.5, 180.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (53.05, 55.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (55.15, 57.3>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (60.95, 62.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (60.95, 62.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (162.5, 164.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (53.05, 55.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (153.5, 160.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (60.95, 62.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (57.3, 58.7>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (18.75, 38.75>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (153.5, 160.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (57.3, 58.7>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (153.5, 160.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (38.75, 53.05>) -> (age, (67.45, 84.15>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.45, 84.15>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (62.95, 66.95>) -> (age, (18.75, 38.75>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
