((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((age, (age, (57.3, 58.85>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (62.95, 65.25>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (60.95, 62.95>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (58.85, 60.95>) -> (age, (20.75, 38.75>)))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (62.95, 65.25>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (62.95, 65.25>) -> (age, (20.75, 38.75>)))
((age, (age, (62.95, 65.25>) -> (age, (20.75, 38.75>)))
((age, (age, (65.25, 67.55000000000001>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((age, (age, (60.95, 62.95>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (58.85, 60.95>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (65.25, 67.55000000000001>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((age, (age, (58.85, 60.95>) -> (age, (20.75, 38.75>)))
((age, (age, (57.3, 58.85>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (57.3, 58.85>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (65.25, 67.55000000000001>) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
((age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((age, (age, (60.95, 62.95>) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (20.75, 38.75>) -> (age, (20.75, 38.75>)))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((age, (age, (20.75, 38.75>) -> (age, (68.35, inf))))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)) AND (age, (age, (68.35, inf)) -> (age, (20.75, 38.75>)))
((age, (age, (38.75, 57.3>) -> (age, (20.75, 38.75>)))
