((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (41.475, 44.525>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (48.644999999999996, 54.615>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (54.615, inf)) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((medwidsi, (medwidsi, {N}) -> (medwidsi, {N})) AND (age, (age, (18.985, 21.795>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((medwidsi, (medwidsi, {N}) -> (medwidsi, {N})) AND (age, (age, (18.985, 21.795>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (54.615, inf)) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (54.615, inf)) -> (age, (30.810000000000002, 31.965>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (15.66, 18.985>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (21.795, 30.810000000000002>) -> (age, (15.66, 18.985>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (36.925, 40.0>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (21.795, 30.810000000000002>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (48.644999999999996, 54.615>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((medwidsi, (medwidsi, {N}) -> (medwidsi, {N})) AND (age, (age, (18.985, 21.795>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (15.66, 18.985>) -> (age, (30.810000000000002, 31.965>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((medwidsi, (medwidsi, {N}) -> (medwidsi, {N})) AND (age, (age, (21.795, 30.810000000000002>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (21.795, 30.810000000000002>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (18.985, 21.795>) -> (age, (36.925, 40.0>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (21.795, 30.810000000000002>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (18.985, 21.795>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (15.66, 18.985>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (21.795, 30.810000000000002>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (15.66, 18.985>) -> (age, (15.66, 18.985>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (18.985, 21.795>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (21.795, 30.810000000000002>) -> (age, (15.66, 18.985>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (48.644999999999996, 54.615>) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (33.760000000000005, 35.935>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (54.615, inf)) -> (age, (30.810000000000002, 31.965>)) AND (extranod, (extranod, {N}) -> (extranod, {N})))
((age, (age, (21.795, 30.810000000000002>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (18.985, 21.795>) -> (age, (54.615, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
