((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (39.925, 42.35>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (42.82, 44.525>) -> (age, (20.055, 21.335>)))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
((age, (age, (16.3, 18.625>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (20.055, 21.335>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (20.055, 21.335>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (39.925, 42.35>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (42.82, 44.525>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (42.82, 44.525>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (54.615, inf)) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (20.055, 21.335>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (31.965, 33.760000000000005>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)) AND (trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
