id,p
0,0.521348
1,0.022044
2,0.046266
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,1.000000
11,0.004090
12,1.000000
13,0.022044
14,1.000000
15,1.000000
16,0.000817
17,0.004090
18,1.000000
19,0.022044
20,1.000000
21,0.000000
22,1.000000
23,1.000000
24,1.000000
25,1.000000
26,1.000000
27,1.000000
28,1.000000
29,1.000000
30,1.000000
31,1.000000
32,0.000000
33,1.000000
34,0.000000
35,0.000000
36,0.000000
37,0.046266
38,0.521348
39,0.012955
40,0.046266
41,0.007389
42,1.000000
43,1.000000
44,1.000000
45,1.000000
46,1.000000
47,1.000000
48,0.000000
49,1.000000
50,0.002197
51,0.046266
52,1.000000
53,1.000000
54,0.000000
55,1.000000
56,1.000000
57,1.000000
58,0.521348
59,1.000000
60,0.000028
61,0.022044
62,0.022044
63,0.000000
64,1.000000
65,1.000000
66,1.000000
67,1.000000
68,1.000000
69,0.046266
70,0.000000
71,1.000000
72,1.000000
73,0.000000
74,1.000000
75,0.000000
76,1.000000
77,0.000028
78,1.000000
79,0.000000
80,1.000000
81,0.009821
82,1.000000
83,1.000000
84,0.000000
85,1.000000
