((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (2.17, 3.38>) -> (thick, (3.38, inf))))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (-inf, 1.315>) -> (thick, (-inf, 1.315>)))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (1.315, 1.69>) -> (thick, (-inf, 1.315>)) AND (age, (age, (52.5, 63.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (1.69, 2.02>) -> (thick, (-inf, 1.315>)))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (1.315, 1.69>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (1.69, 2.02>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
