((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (2.1799999999999997, 3.38>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (1.8599999999999999, 2.1799999999999997>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (1.8599999999999999, 2.1799999999999997>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (42.5, 52.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (0.5, 1.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)))
((thick, (thick, (2.1799999999999997, 3.38>) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (52.5, 74.5>) -> (age, (13.0, 42.5>)))
((age, (age, (52.5, 74.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((age, (age, (13.0, 42.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (1.8599999999999999, 2.1799999999999997>) -> (thick, (3.38, inf))))
((age, (age, (52.5, 74.5>) -> (age, (13.0, 42.5>)) AND (thick, (thick, (2.1799999999999997, 3.38>) -> (thick, (-inf, 1.8599999999999999>)))
((age, (age, (13.0, 42.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (13.0, 42.5>) -> (age, (13.0, 42.5>)))
((age, (age, (13.0, 42.5>) -> (age, (52.5, 74.5>)) AND (thick, (thick, (3.38, inf)) -> (thick, (3.38, inf))))
