((age, (age, (74.5, inf)) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)) AND (mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (hgb, (hgb, (11.95, 13.25>) -> (hgb, (13.25, 16.35>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)))
((mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (1.95, inf)) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (59.5, 62.5>) -> (dxyr, (62.5, 70.5>)) AND (mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)))
((mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (hgb, (hgb, (-inf, 9.95>) -> (hgb, (13.25, 16.35>)) AND (age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)))
((age, (age, (62.5, 65.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)) AND (hgb, (hgb, (9.95, 11.95>) -> (hgb, (13.25, 16.35>)) AND (age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)))
((dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)) AND (mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)) AND (mspike, (mspike, (1.95, inf)) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
