((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((hgb, (hgb, (11.95, 13.25>) -> (hgb, (9.25, 11.25>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((hgb, (hgb, (14.2, 16.35>) -> (hgb, (9.25, 11.25>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (67.5, 71.0>) -> (dxyr, (67.5, 71.0>)))
