((hgb, (hgb, (15.2, inf)) -> (hgb, (15.2, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (15.2, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((hgb, (hgb, (14.2, 15.2>) -> (hgb, (-inf, 11.350000000000001>)))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))))
((hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (15.2, inf))))
((hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (15.2, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((age, (age, (61.5, 65.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, inf))))
((age, (age, (61.5, 65.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))))
((hgb, (hgb, (-inf, 11.350000000000001>) -> (hgb, (15.2, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (15.2, inf))))
((age, (age, (61.5, 65.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))) AND (dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, inf))))
((age, (age, (-inf, 61.5>) -> (age, (74.5, inf))))
