((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (14.2, inf)) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (14.2, inf)) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (14.2, inf)) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (14.2, inf)) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (-inf, 9.95>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (13.649999999999999, 14.149999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((age, (age, (35.0, 55.5>) -> (age, (74.5, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (14.2, inf)) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
((mspike, (mspike, (1.05, inf)) -> (mspike, (1.05, inf))) AND (hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (13.649999999999999, 14.149999999999999>)))
