((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (2.5, 4.5>)) AND (marital, (marital, {S}) -> (marital, {S})))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (12.5, 14.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (-inf, 0.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (7.5, 9.5>) -> (yschool, (14.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (yschool, (yschool, (6.5, 7.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (2.5, 4.5>)) AND (marital, (marital, {S}) -> (marital, {S})))
((npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (14.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (npartner, (npartner, (-inf, 0.5>) -> (npartner, (2.5, 4.5>)) AND (race, (race, {B}) -> (race, {B})) AND (marital, (marital, {S}) -> (marital, {S})))
((npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (14.5, inf))))
