((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)) AND (marital, (marital, {S}) -> (marital, {S})))
((age, (age, (18.5, 19.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (1.5, 2.5>)) AND (abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (1.5, 2.5>)) AND (marital, (marital, {S}) -> (marital, {S})))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (-inf, 14.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (1.5, 2.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (2.5, inf)) -> (iinfct, (1.5, 2.5>)))
((dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (lesion, (lesion, (-inf, 0.5>) -> (lesion, (-inf, 0.5>)) AND (iinfct, (iinfct, (1.5, 2.5>) -> (iinfct, (1.5, 2.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
