((abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (age, (age, (22.5, 37.5>) -> (age, (14.5, 15.5>)) AND (dysuria, (dysuria, (-inf, 0.5>) -> (dysuria, (-inf, 0.5>)) AND (vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)))
((itch, (itch, (0.5, inf)) -> (itch, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abnode, (abnode, (-inf, 0.5>) -> (abnode, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (npartner, (npartner, (2.5, 4.0>) -> (npartner, (2.5, 4.0>)))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((iinfct, (iinfct, (1.5, inf)) -> (iinfct, (1.5, inf))) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((itch, (itch, (-inf, 0.5>) -> (itch, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((itch, (itch, (0.5, inf)) -> (itch, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((age, (age, (22.5, 37.5>) -> (age, (14.5, 15.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dysuria, (dysuria, (-inf, 0.5>) -> (dysuria, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((age, (age, (22.5, 37.5>) -> (age, (14.5, 15.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dysuria, (dysuria, (-inf, 0.5>) -> (dysuria, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (0.5, inf)) -> (rs30d, (0.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (age, (age, (22.5, 37.5>) -> (age, (14.5, 15.5>)) AND (dysuria, (dysuria, (-inf, 0.5>) -> (dysuria, (-inf, 0.5>)) AND (itch, (itch, (-inf, 0.5>) -> (itch, (-inf, 0.5>)))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((itch, (itch, (-inf, 0.5>) -> (itch, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((age, (age, (18.5, 19.5>) -> (age, (14.5, 15.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (dysuria, (dysuria, (-inf, 0.5>) -> (dysuria, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((itch, (itch, (-inf, 0.5>) -> (itch, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((abdpain, (abdpain, (0.5, inf)) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
((age, (age, (15.5, 16.5>) -> (age, (-inf, 14.5>)))
((abdpain, (abdpain, (-inf, 0.5>) -> (abdpain, (-inf, 0.5>)) AND (rs30d, (rs30d, (-inf, 0.5>) -> (rs30d, (0.5, inf))))
