((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (0.5, inf)) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (0.007411500000000015, 0.361679>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.7694445, 0.836111>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.7694445, 0.836111>) -> (FRAC, (-inf, 0.1277775>)))
((IV3, (IV3, (-inf, 0.5>) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (23.0, 43.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.007411500000000015>) -> (ND2, (-inf, 0.007411500000000015>)) AND (BECK, (BECK, (12.0, 33.5>) -> (BECK, (-inf, 8.2>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.675>) -> (FRAC, (0.836111, inf))))
((IV3, (IV3, (0.5, inf)) -> (IV3, (0.5, inf))) AND (AGE, (AGE, (43.5, 44.5>) -> (AGE, (23.0, 43.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
