((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (11.5, 12.0>) -> (BECK, (12.0, 23.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (0.836111, inf))))
((LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (-inf, 0.1277775>)))
((LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (-inf, 0.1277775>)))
((LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (-inf, 0.1277775>)))
((LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.55, 0.675>) -> (FRAC, (0.836111, inf))))
((BECK, (BECK, (-inf, 6.15>) -> (BECK, (12.0, 23.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.675, 0.7277775>) -> (FRAC, (0.836111, inf))))
((LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (1.2424529999999998, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (-inf, 1.2424529999999998>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (0.836111, inf))))
