id,distance,n_actions
0,0.031670,3
1,0.195203,4
2,0.066187,3
3,0.182559,3
4,0.057695,3
5,0.060379,3
6,0.056522,3
7,0.175115,3
8,0.104396,2
9,0.179369,3
10,0.125428,3
11,0.078299,3
12,0.206073,4
13,0.104927,2
14,0.199338,4
15,0.111362,3
16,0.062690,3
17,0.176710,3
18,0.049712,3
19,0.130746,3
20,0.077337,2
21,0.108118,2
22,0.026586,1
23,0.161231,4
24,0.055595,2
25,0.089094,3
26,0.064339,2
27,0.048383,3
28,0.108118,2
29,0.104927,2
30,0.031917,2
31,0.126315,3
32,0.061613,3
33,0.026011,3
34,0.143034,3
35,0.099078,2
36,0.081886,2
37,0.054512,3
38,0.058825,3
39,0.066718,3
40,0.133227,3
41,0.165485,4
42,0.230297,4
43,0.086960,2
44,0.089448,2
45,0.049969,3
46,0.044018,3
47,0.082190,3
48,0.045385,2
49,0.047381,3
50,0.066308,2
51,0.089289,3
52,0.079844,2
53,0.058619,3
54,0.046340,3
55,0.070943,2
56,0.164422,4
57,0.220726,4
