((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (-inf, 40.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (40.5, 41.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (-inf, 40.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (-inf, 40.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (53.5, 56.5>) -> (agepill, (51.5, 53.5>)))
((agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (66.5, inf)) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)))
