((stdagepill, (stdagepill, (1.1818179999999998, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.1818179999999998, 1.7272729999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (2.090909, inf)) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, 2.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.1818179999999998, 1.7272729999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
