((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Male}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.363636, -0.6363639999999999>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.363636, -0.6363639999999999>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((agepill, (agepill, (41.5, 42.0>) -> (agepill, (42.5, 45.5>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.363636, -0.6363639999999999>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (0.090909, 0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (0.45454550000000005, 1.7272729999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((stdagepill, (stdagepill, (0.090909, 0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((agepill, (agepill, (61.5, 66.0>) -> (agepill, (42.5, 45.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (0.45454550000000005, 1.7272729999999998>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.090909, 0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((stdagepill, (stdagepill, (0.45454550000000005, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})))
((stdagepill, (stdagepill, (-1.363636, -0.6363639999999999>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (0.090909, 0.45454550000000005>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((agepill, (agepill, (56.5, 61.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.090909>) -> (stdagepill, (-inf, -2.2727269999999997>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (45.5, 56.5>) -> (agepill, (42.5, 45.5>)))
((agepill, (agepill, (56.5, 61.5>) -> (agepill, (42.5, 45.5>)))
