attribute,value
temperatureInd,"(-inf, 48.456179489836>"
temperatureInd,"(48.456179489836, 59.3383140409498>"
temperatureInd,"(59.3383140409498, 59.8509791337182>"
temperatureInd,"(59.8509791337182, 66.15938244754464>"
temperatureInd,"(66.15938244754464, 73.02204778481965>"
temperatureInd,"(73.02204778481965, 73.30157329181925>"
temperatureInd,"(73.30157329181925, 73.9176488058742>"
temperatureInd,"(73.9176488058742, 81.0447650411146>"
temperatureInd,"(81.0447650411146, 81.74420518766595>"
temperatureInd,"(81.74420518766595, 82.2764656910525>"
temperatureInd,"(82.2764656910525, 84.7832733283098>"
temperatureInd,"(84.7832733283098, 86.9261968309857>"
temperatureInd,"(86.9261968309857, 90.8826906523314>"
temperatureInd,"(90.8826906523314, 91.8906006570451>"
temperatureInd,"(91.8906006570451, 92.07222311492194>"
temperatureInd,"(92.07222311492194, 98.43496603249096>"
temperatureInd,"(98.43496603249096, 98.60804006466816>"
temperatureInd,"(98.60804006466816, 98.98915240822066>"
temperatureInd,"(98.98915240822066, 105.556761618177>"
temperatureInd,"(105.556761618177, 107.19161837279>"
temperatureInd,"(107.19161837279, 114.8121195910015>"
temperatureInd,"(114.8121195910015, 114.9760131752>"
temperatureInd,"(114.9760131752, 115.285732385526>"
temperatureInd,"(115.285732385526, 115.4193894436795>"
temperatureInd,"(115.4193894436795, 115.582899282256>"
temperatureInd,"(115.582899282256, 116.295650155441>"
temperatureInd,"(116.295650155441, 117.970649174962>"
temperatureInd,"(117.970649174962, 117.9963455457615>"
temperatureInd,"(117.9963455457615, 121.834414773084>"
temperatureInd,"(121.834414773084, 122.3237674841705>"
temperatureInd,"(122.3237674841705, 124.106164250967>"
temperatureInd,"(124.106164250967, 130.1183367108105>"
temperatureInd,"(130.1183367108105, 133.55210124317898>"
temperatureInd,"(133.55210124317898, 135.382893850225>"
temperatureInd,"(135.382893850225, 135.64043669769302>"
temperatureInd,"(135.64043669769302, 148.249516806914>"
temperatureInd,"(148.249516806914, 148.9434392358805>"
temperatureInd,"(148.9434392358805, 152.654248308908>"
temperatureInd,"(152.654248308908, inf)"
moistureInd,"(-inf, 64.73805800733714>"
moistureInd,"(64.73805800733714, 67.99034345958225>"
moistureInd,"(67.99034345958225, 82.11649358006511>"
moistureInd,"(82.11649358006511, 85.77574018459964>"
moistureInd,"(85.77574018459964, 88.3594665700556>"
moistureInd,"(88.3594665700556, 88.46337974251075>"
moistureInd,"(88.46337974251075, 90.0922106032409>"
moistureInd,"(90.0922106032409, 92.49863061692571>"
moistureInd,"(92.49863061692571, 93.7318248461297>"
moistureInd,"(93.7318248461297, 94.8751352364792>"
moistureInd,"(94.8751352364792, 94.8968697498393>"
moistureInd,"(94.8968697498393, 94.9254944920729>"
moistureInd,"(94.9254944920729, 94.99546316086244>"
moistureInd,"(94.99546316086244, 98.6749496994336>"
moistureInd,"(98.6749496994336, 99.0455296747015>"
moistureInd,"(99.0455296747015, 101.76453520346001>"
moistureInd,"(101.76453520346001, 103.9912382928755>"
moistureInd,"(103.9912382928755, 104.11178400547>"
