((pressureInd, (pressureInd, (75.75137737007105, 76.9685706204893>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (85.79388078452375, 89.04752527620535>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (102.446732448369, 110.171490679743>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (71.24353895880945, 75.75137737007105>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (93.6703379127845, 96.17576993957525>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (132.64084712880202, 135.1602647942345>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (120.2851857642065, 130.13944473476448>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (110.171490679743, 113.51963786249101>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (110.171490679743, 113.51963786249101>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (89.04752527620535, 93.6703379127845>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (81.22460635932265, 84.4400733872479>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (96.17576993957525, 96.55282418066881>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (38.37019721301645, 61.630872021966056>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (93.6703379127845, 96.17576993957525>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (110.171490679743, 113.51963786249101>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (102.446732448369, 110.171490679743>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (76.9685706204893, 79.14793355363821>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
((pressureInd, (pressureInd, (96.55282418066881, 97.78537133990935>) -> (pressureInd, (38.37019721301645, 61.630872021966056>)))
