id,p
0,0.000166
1,0.000078
2,0.000166
3,0.000166
4,0.000166
5,0.000166
6,0.000166
7,0.000166
8,0.000078
9,0.000166
10,0.000166
11,0.000166
12,0.000166
13,0.000166
14,0.000166
15,0.000166
16,0.000166
17,0.000166
18,0.000166
19,0.000166
20,0.000166
21,0.000078
22,0.000166
23,0.000078
24,0.000166
25,0.000166
26,0.000166
27,0.000166
28,0.000078
29,0.000078
30,0.000166
31,0.000166
32,0.000166
33,0.000166
34,0.000166
35,0.000078
36,0.000166
37,0.000166
38,0.000078
39,0.000166
40,0.000166
41,0.000166
42,0.000166
43,0.000166
44,0.000166
45,0.000166
46,0.000166
47,0.000166
48,0.000078
49,0.000166
50,0.000166
51,0.000166
52,0.000166
53,0.000078
54,0.000078
55,0.000166
56,0.000078
57,0.000078
58,0.000166
59,0.000166
60,0.000078
61,0.000166
62,0.000078
63,0.000166
64,0.000078
65,0.000078
66,0.000078
67,0.000078
68,0.000166
69,0.000166
70,0.000166
71,0.000166
72,0.000166
73,0.000166
74,0.000166
75,0.000078
76,0.000078
77,0.000166
78,0.000166
79,0.000078
80,0.000166
81,0.000166
82,0.000166
83,0.000166
84,0.000166
85,0.000078
86,0.000078
87,0.000166
88,0.000166
89,0.000166
90,0.000166
91,0.000341
92,0.000078
93,0.000166
94,0.000166
95,0.000166
96,0.000166
97,0.000166
98,0.000166
99,0.000166
