((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (549.235, 643.02>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.825>) -> (SensorMeasure4, (-inf, 1127.825>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (549.235, 643.02>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.825>) -> (SensorMeasure4, (-inf, 1127.825>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure2, (SensorMeasure2, (549.235, 643.02>) -> (SensorMeasure2, (549.235, 643.02>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (-inf, 1127.825>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.165, inf)) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (549.235, 643.02>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.825>) -> (SensorMeasure4, (-inf, 1127.825>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
