((SensorMeasure2, (SensorMeasure2, (-inf, 536.8199999999999>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2028.355>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure7, (SensorMeasure7, (138.0, 335.675>) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (1128.135, inf))) AND (SensorMeasure14, (SensorMeasure14, (8064.91, 8087.645>) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure7, (SensorMeasure7, (138.0, 335.675>) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (1128.135, inf))) AND (OpSet1, (OpSet1, (35.0059, 42.00625>) -> (OpSet1, (-inf, 35.0059>)) AND (SensorMeasure14, (SensorMeasure14, (8087.645, inf)) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 536.8199999999999>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure2, (SensorMeasure2, (555.4, 604.98>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2028.355, 2388.035>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure2, (SensorMeasure2, (536.8199999999999, 543.0550000000001>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2028.355>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (536.8199999999999, 543.0550000000001>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure21, (SensorMeasure21, (8.5838, inf)) -> (SensorMeasure21, (-inf, 6.4201>)) AND (SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)) AND (SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)) AND (OpSet1, (OpSet1, (-inf, 35.0059>) -> (OpSet1, (35.0059, 42.00625>)))
((SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)) AND (OpSet1, (OpSet1, (-inf, 35.0059>) -> (OpSet1, (35.0059, 42.00625>)))
((SensorMeasure7, (SensorMeasure7, (138.0, 335.675>) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (1128.135, inf))) AND (OpSet1, (OpSet1, (42.00625, inf)) -> (OpSet1, (-inf, 35.0059>)) AND (SensorMeasure14, (SensorMeasure14, (8064.91, 8087.645>) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (555.4, 604.98>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure3, (SensorMeasure3, (1479.565, inf)) -> (SensorMeasure3, (1257.25, 1352.8600000000001>)) AND (SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 536.8199999999999>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2028.355, 2388.035>) -> (SensorMeasure13, (2028.355, 2388.035>)))
((SensorMeasure2, (SensorMeasure2, (549.2, 555.4>) -> (SensorMeasure2, (549.2, 555.4>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)))
