((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 549.4200000000001>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((OpSet1, (OpSet1, (10.00085, 24.999200000000002>) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((OpSet1, (OpSet1, (10.00085, 24.999200000000002>) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (549.4200000000001, 555.265>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (39.155, inf)) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (641.95, inf)) -> (SensorMeasure2, (-inf, 549.4200000000001>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)) AND (SensorMeasure6, (SensorMeasure6, (21.564999999999998, inf)) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (549.4200000000001, 555.265>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (-inf, 10.655000000000001>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (549.4200000000001, 555.265>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, 607.29>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (182.69, 522.875>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 549.4200000000001>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (555.265, 603.915>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (182.69, 522.875>) -> (SensorMeasure12, (182.69, 522.875>)))
((OpSet1, (OpSet1, (10.00085, 24.999200000000002>) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (549.4200000000001, 555.265>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (182.69, 522.875>) -> (SensorMeasure12, (182.69, 522.875>)))
((OpSet1, (OpSet1, (10.00085, 24.999200000000002>) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (1124.92, 1240.615>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 549.4200000000001>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (129.35, 182.69>) -> (SensorMeasure12, (182.69, 522.875>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (641.95, inf)) -> (SensorMeasure2, (-inf, 549.4200000000001>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)) AND (SensorMeasure6, (SensorMeasure6, (21.564999999999998, inf)) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure20, (SensorMeasure20, (10.655000000000001, 39.155>) -> (SensorMeasure20, (10.655000000000001, 39.155>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, 607.29>) -> (SensorMeasure2, (641.95, inf))) AND (SensorMeasure12, (SensorMeasure12, (182.69, 522.875>) -> (SensorMeasure12, (182.69, 522.875>)))
