id,OpSet1,OpSet2,OpSet3,SensorMeasure1,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure5,SensorMeasure6,SensorMeasure7,SensorMeasure8,SensorMeasure9,SensorMeasure10,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure14,SensorMeasure15,SensorMeasure16,SensorMeasure17,SensorMeasure18,SensorMeasure19,SensorMeasure20,SensorMeasure21,survival_time,survival_status
0,20.007200,0.700000,100.000000,491.190000,606.670000,1481.040000,1227.810000,9.350000,13.600000,332.520000,2323.670000,8704.980000,1.070000,43.830000,313.030000,2387.780000,8048.980000,9.222900,0.020000,362.000000,2324.000000,100.000000,24.310000,14.700700,229.000000,1.000000
1,25.004100,0.620000,60.000000,462.540000,536.840000,1264.010000,1035.720000,7.050000,9.030000,176.350000,1915.390000,8010.740000,0.940000,36.600000,165.160000,2028.310000,7874.790000,10.890600,0.020000,307.000000,1915.000000,84.930000,14.310000,8.489200,152.000000,1.000000
2,25.001500,0.620500,60.000000,462.540000,536.100000,1257.690000,1034.090000,7.050000,9.000000,175.740000,1915.310000,8015.690000,0.940000,36.580000,164.520000,2028.250000,7875.330000,10.841200,0.020000,306.000000,1915.000000,84.930000,14.400000,8.609100,140.000000,1.000000
3,35.005400,0.841900,100.000000,449.440000,554.940000,1352.390000,1109.870000,5.480000,7.980000,193.440000,2222.730000,8329.360000,1.020000,41.410000,181.510000,2387.760000,8053.670000,9.306200,0.020000,332.000000,2223.000000,100.000000,14.800000,9.066000,207.000000,1.000000
4,42.000300,0.840000,100.000000,445.000000,549.730000,1352.040000,1123.660000,3.910000,5.710000,138.310000,2211.860000,8323.790000,1.020000,42.300000,130.540000,2387.910000,8082.970000,9.369500,0.020000,331.000000,2212.000000,100.000000,10.590000,6.361700,50.000000,1.000000
5,35.006600,0.841100,100.000000,449.440000,555.370000,1354.710000,1117.550000,5.480000,7.990000,194.280000,2222.900000,8334.770000,1.020000,41.650000,182.800000,2387.880000,8063.990000,9.281100,0.020000,333.000000,2223.000000,100.000000,14.830000,8.911000,145.000000,1.000000
6,42.001300,0.840000,100.000000,445.000000,549.460000,1355.500000,1128.790000,3.910000,5.710000,138.160000,2211.920000,8328.970000,1.020000,42.080000,130.400000,2388.020000,8085.330000,9.380600,0.020000,331.000000,2212.000000,100.000000,10.620000,6.385900,53.000000,1.000000
7,0.002300,0.000000,100.000000,518.670000,641.350000,1589.530000,1404.010000,14.620000,21.600000,553.790000,2387.950000,9047.850000,1.300000,47.040000,522.220000,2387.970000,8135.160000,8.405500,0.030000,390.000000,2388.000000,100.000000,39.030000,23.327900,236.000000,0.000000
8,25.006100,0.622000,60.000000,462.540000,536.660000,1250.970000,1043.090000,7.050000,9.020000,176.070000,1915.460000,8014.280000,0.940000,36.610000,165.520000,2028.310000,7878.920000,10.799200,0.020000,306.000000,1915.000000,84.930000,14.380000,8.565200,22.000000,1.000000
9,42.005200,0.840000,100.000000,445.000000,549.180000,1350.990000,1112.010000,3.910000,5.690000,136.900000,2211.830000,8306.910000,1.020000,41.550000,129.510000,2387.960000,8070.600000,9.393900,0.020000,328.000000,2212.000000,100.000000,10.490000,6.448500,236.000000,0.000000
10,42.001900,0.840000,100.000000,445.000000,549.450000,1340.780000,1117.570000,3.910000,5.700000,138.040000,2212.000000,8323.680000,1.020000,41.800000,130.140000,2388.070000,8090.210000,9.306100,0.020000,330.000000,2212.000000,100.000000,10.700000,6.377400,226.000000,1.000000
11,20.000400,0.700500,100.000000,491.190000,607.690000,1481.760000,1243.800000,9.350000,13.660000,334.610000,2323.990000,8723.410000,1.080000,44.510000,314.570000,2388.100000,8063.180000,9.208300,0.020000,365.000000,2324.000000,100.000000,24.510000,14.689500,101.000000,1.000000
12,24.998600,0.620000,60.000000,462.540000,536.730000,1257.140000,1049.280000,7.050000,9.020000,176.240000,1915.420000,8005.850000,0.940000,36.600000,165.320000,2028.300000,7880.530000,10.834100,0.020000,305.000000,1915.000000,84.930000,14.400000,8.589500,167.000000,1.000000
13,0.002200,0.002000,100.000000,518.670000,641.570000,1575.220000,1396.770000,14.620000,21.600000,555.330000,2388.040000,9062.250000,1.300000,47.030000,523.200000,2387.960000,8133.590000,8.397200,0.030000,392.000000,2388.000000,100.000000,39.030000,23.503700,236.000000,0.000000
