((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure2, (SensorMeasure2, (604.52, inf)) -> (SensorMeasure2, (-inf, 549.435>)) AND (SensorMeasure7, (SensorMeasure7, (395.28, inf)) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
