((SHO, (SHO, (0.5, inf)) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (0.5, inf)) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
