((CHF, (CHF, (0.5, inf)) -> (CHF, (-inf, 0.5>)) AND (AGE, (AGE, (91.5, 93.5>) -> (AGE, (35.5, 66.5>)) AND (CPK, (CPK, (51.0, 195.5>) -> (CPK, (51.0, 195.5>)))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CHF, (CHF, (0.5, inf)) -> (CHF, (-inf, 0.5>)) AND (AGE, (AGE, (67.5, 69.5>) -> (AGE, (35.5, 66.5>)))
((AGE, (AGE, (69.5, 76.5>) -> (AGE, (35.5, 66.5>)) AND (CPK, (CPK, (496.5, 3540.5>) -> (CPK, (51.0, 195.5>)))
((AGE, (AGE, (67.5, 69.5>) -> (AGE, (35.5, 66.5>)) AND (CPK, (CPK, (496.5, 3540.5>) -> (CPK, (51.0, 195.5>)))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CHF, (CHF, (0.5, inf)) -> (CHF, (-inf, 0.5>)) AND (AGE, (AGE, (78.5, 90.5>) -> (AGE, (35.5, 66.5>)))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CHF, (CHF, (0.5, inf)) -> (CHF, (-inf, 0.5>)) AND (AGE, (AGE, (78.5, 90.5>) -> (AGE, (35.5, 66.5>)) AND (CPK, (CPK, (51.0, 195.5>) -> (CPK, (51.0, 195.5>)))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CHF, (CHF, (-inf, 0.5>) -> (CHF, (-inf, 0.5>)) AND (AGE, (AGE, (69.5, 76.5>) -> (AGE, (35.5, 66.5>)))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
