((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)) AND (strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((priorzdv, (priorzdv, (9.25, 16.5>) -> (priorzdv, (5.5, 7.5>)))
((priorzdv, (priorzdv, (4.5, 5.0>) -> (priorzdv, (5.5, 7.5>)) AND (cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 40.5>) -> (age, (26.5, 28.0>)) AND (tx, (tx, (0.5, inf)) -> (tx, (0.5, inf))))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)) AND (strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((priorzdv, (priorzdv, (44.5, 75.5>) -> (priorzdv, (37.5, 44.5>)) AND (tx, (tx, (-inf, 0.5>) -> (tx, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (40.5, 54.5>) -> (age, (26.5, 28.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (52.5, 57.25>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)) AND (strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)))
((hemophil, (hemophil, (0.5, inf)) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (7.5, 8.5>) -> (priorzdv, (5.5, 7.5>)) AND (cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (78.25, 85.75>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (52.5, 57.25>) -> (cd4, (52.5, 57.25>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((strat2, (strat2, (-inf, 0.5>) -> (strat2, (0.5, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 40.5>) -> (age, (26.5, 28.0>)))
((age, (age, (40.5, 54.5>) -> (age, (26.5, 28.0>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (52.5, 57.25>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((cd4, (cd4, (52.5, 57.25>) -> (cd4, (52.5, 57.25>)))
((karnof, (karnof, (95.0, inf)) -> (karnof, (75.0, 85.0>)) AND (cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)) AND (strat2, (strat2, (-inf, 0.5>) -> (strat2, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
