((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 28.5>)))
((age, (age, (23.5, 25.5>) -> (age, (25.5, 28.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (-inf, 85.0>) -> (karnof, (-inf, 85.0>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (57.5, 59.0>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (2.5, 8.5>)) AND (txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)))
((cd4, (cd4, (69.75, 78.25>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 85.0>)))
((age, (age, (32.5, 40.5>) -> (age, (25.5, 28.5>)) AND (txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)))
