id,left,right
0,25,25
1,467,43
2,467,43
3,467,43
4,467,25
5,391,76
6,8,76
7,31,39
8,31,76
9,467,43
10,33,76
11,467,25
12,63,76
13,23,23
14,18,25
15,69,25
16,467,25
17,55,23
18,467,35
19,10,76
20,467,25
21,467,39
22,847,28
23,10,22
24,467,43
25,28,76
26,63,76
27,71,76
28,3,45
29,1007,29
30,229,23
31,467,43
32,467,43
33,55,23
34,73,25
35,70,76
36,467,25
37,467,25
38,467,25
39,63,76
40,68,24
41,467,43
42,19,45
43,2,22
44,79,39
45,467,43
46,71,76
47,63,76
48,467,43
49,5,45
50,467,43
51,1007,29
52,467,43
53,1007,29
54,71,76
55,18,25
56,467,43
57,108,20
58,63,76
59,63,76
60,17,76
61,467,43
62,79,25
63,467,43
64,467,25
65,467,43
66,467,25
67,25,25
68,1007,29
69,31,25
70,467,39
71,31,25
72,467,35
73,467,43
74,467,25
75,467,25
76,1007,29
77,467,43
78,43,69
79,229,23
80,71,76
81,71,76
82,467,43
83,71,76
84,55,23
85,73,69
86,3,76
87,13,76
88,13,45
89,4,25
90,70,76
91,1007,29
92,6,20
93,30,23
94,34,76
95,79,25
96,59,76
97,9,20
98,17,76
99,467,43
100,467,43
101,467,43
102,71,76
103,73,25
104,467,35
105,1007,29
106,467,43
107,467,43
108,229,23
109,467,43
110,70,76
111,8,20
112,467,43
113,71,76
114,1007,29
