((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (31.5, 33.5>) -> (priorzdv, (7.5, 8.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (7.5, 8.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (112.0, 123.0>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (8.5, 9.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (91.5, 98.0>) -> (priorzdv, (7.5, 8.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (8.5, 9.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (7.5, 8.5>)))
((cd4, (cd4, (11.75, 18.75>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (23.25, 53.75>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (11.75, 18.75>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (5.5, 7.5>)))
