time, entire-set, r1_l, r1_r, r2_l, r2_r, 
30.0, 0.988889, 1.000000, 0.966667, 0.966667, 1.000000, 
33.0, 0.977778, 1.000000, 0.933333, 0.933333, 1.000000, 
36.0, 0.966667, 1.000000, 0.933333, 0.933333, 1.000000, 
38.0, 0.955556, 1.000000, 0.933333, 0.933333, 1.000000, 
45.0, 0.944444, 1.000000, 0.900000, 0.900000, 1.000000, 
47.0, 0.933333, 1.000000, 0.866667, 0.866667, 1.000000, 
48.0, 0.922222, 1.000000, 0.833333, 0.833333, 1.000000, 
49.0, 0.911111, 0.972973, 0.833333, 0.833333, 0.972973, 
53.0, 0.888889, 0.972973, 0.833333, 0.833333, 0.972973, 
54.0, 0.877778, 0.972973, 0.800000, 0.800000, 0.972973, 
55.0, 0.866667, 0.945946, 0.800000, 0.800000, 0.945946, 
67.0, 0.844444, 0.918919, 0.766667, 0.766667, 0.918919, 
70.0, 0.822222, 0.864865, 0.766667, 0.766667, 0.864865, 
72.0, 0.800000, 0.837838, 0.733333, 0.733333, 0.837838, 
75.0, 0.777778, 0.810811, 0.700000, 0.700000, 0.810811, 
77.0, 0.766667, 0.810811, 0.700000, 0.700000, 0.810811, 
82.0, 0.755556, 0.810811, 0.666667, 0.666667, 0.810811, 
87.0, 0.744444, 0.810811, 0.666667, 0.666667, 0.810811, 
88.0, 0.733333, 0.810811, 0.633333, 0.633333, 0.810811, 
93.0, 0.722222, 0.810811, 0.600000, 0.600000, 0.810811, 
96.0, 0.700000, 0.756757, 0.600000, 0.600000, 0.756757, 
97.0, 0.688889, 0.756757, 0.566667, 0.566667, 0.756757, 
100.0, 0.677778, 0.756757, 0.533333, 0.533333, 0.756757, 
104.0, 0.666667, 0.756757, 0.533333, 0.533333, 0.756757, 
105.0, 0.655556, 0.756757, 0.500000, 0.500000, 0.756757, 
109.0, 0.644444, 0.756757, 0.500000, 0.500000, 0.756757, 
112.0, 0.622222, 0.756757, 0.466667, 0.466667, 0.756757, 
120.0, 0.588889, 0.729730, 0.433333, 0.433333, 0.729730, 
122.0, 0.577778, 0.729730, 0.433333, 0.433333, 0.729730, 
124.0, 0.566667, 0.729730, 0.433333, 0.433333, 0.729730, 
125.0, 0.544444, 0.702703, 0.433333, 0.433333, 0.702703, 
129.0, 0.533333, 0.702703, 0.400000, 0.400000, 0.702703, 
130.0, 0.522222, 0.675676, 0.400000, 0.400000, 0.675676, 
132.0, 0.500000, 0.621622, 0.400000, 0.400000, 0.621622, 
133.0, 0.488889, 0.594595, 0.400000, 0.400000, 0.594595, 
134.0, 0.477778, 0.594595, 0.400000, 0.400000, 0.594595, 
135.0, 0.466667, 0.594595, 0.366667, 0.366667, 0.594595, 
136.0, 0.455556, 0.567568, 0.366667, 0.366667, 0.567568, 
139.0, 0.444444, 0.567568, 0.333333, 0.333333, 0.567568, 
142.0, 0.433333, 0.567568, 0.300000, 0.300000, 0.567568, 
143.0, 0.422222, 0.567568, 0.266667, 0.266667, 0.567568, 
144.0, 0.411111, 0.540541, 0.266667, 0.266667, 0.540541, 
145.0, 0.388889, 0.513514, 0.233333, 0.233333, 0.513514, 
146.0, 0.366667, 0.486486, 0.233333, 0.233333, 0.486486, 
151.0, 0.344444, 0.459459, 0.200000, 0.200000, 0.459459, 
154.0, 0.333333, 0.459459, 0.200000, 0.200000, 0.459459, 
155.0, 0.322222, 0.459459, 0.200000, 0.200000, 0.459459, 
157.0, 0.311111, 0.459459, 0.166667, 0.166667, 0.459459, 
158.0, 0.300000, 0.432432, 0.166667, 0.166667, 0.432432, 
159.0, 0.277778, 0.405405, 0.133333, 0.133333, 0.405405, 
161.0, 0.255556, 0.351351, 0.133333, 0.133333, 0.351351, 
163.0, 0.244444, 0.351351, 0.100000, 0.100000, 0.351351, 
164.0, 0.233333, 0.324324, 0.100000, 0.100000, 0.324324, 
165.0, 0.222222, 0.324324, 0.100000, 0.100000, 0.324324, 
170.0, 0.211111, 0.324324, 0.100000, 0.100000, 0.324324, 
171.0, 0.188889, 0.324324, 0.066667, 0.066667, 0.324324, 

