time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
20.0, 0.995708, 1.000000, 0.994186, 1.000000, 1.000000, 0.988764, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.988095, 1.000000, 1.000000, 
21.0, 0.991416, 1.000000, 0.988372, 0.980000, 1.000000, 0.977528, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.990099, 0.988095, 1.000000, 1.000000, 
22.0, 0.987124, 1.000000, 0.982558, 0.980000, 0.971429, 0.977528, 0.990291, 1.000000, 1.000000, 1.000000, 1.000000, 0.980198, 0.988095, 1.000000, 1.000000, 
24.0, 0.982833, 1.000000, 0.976744, 0.980000, 0.971429, 0.977528, 0.980583, 0.966667, 1.000000, 0.985294, 1.000000, 0.980198, 0.976190, 0.989583, 1.000000, 
28.0, 0.974249, 1.000000, 0.970930, 0.980000, 0.971429, 0.966292, 0.980583, 0.966667, 1.000000, 0.985294, 1.000000, 0.970297, 0.976190, 0.989583, 1.000000, 
30.0, 0.969957, 1.000000, 0.965116, 0.980000, 0.942857, 0.966292, 0.970874, 0.966667, 1.000000, 0.985294, 1.000000, 0.960396, 0.976190, 0.989583, 1.000000, 
32.0, 0.965665, 1.000000, 0.959302, 0.980000, 0.942857, 0.966292, 0.961165, 0.933333, 1.000000, 0.970588, 1.000000, 0.960396, 0.964286, 0.979167, 1.000000, 
34.0, 0.961373, 1.000000, 0.953488, 0.980000, 0.942857, 0.966292, 0.951456, 0.900000, 1.000000, 0.955882, 1.000000, 0.960396, 0.952381, 0.968750, 1.000000, 
36.0, 0.957082, 1.000000, 0.947674, 0.980000, 0.942857, 0.966292, 0.941748, 0.866667, 1.000000, 0.941176, 1.000000, 0.960396, 0.940476, 0.958333, 1.000000, 
37.0, 0.952790, 1.000000, 0.947674, 0.980000, 0.942857, 0.966292, 0.941748, 0.866667, 1.000000, 0.941176, 1.000000, 0.950495, 0.940476, 0.958333, 1.000000, 
39.0, 0.944206, 1.000000, 0.936047, 0.980000, 0.942857, 0.966292, 0.922330, 0.800000, 1.000000, 0.911765, 1.000000, 0.950495, 0.916667, 0.937500, 1.000000, 
40.0, 0.939914, 1.000000, 0.930233, 0.980000, 0.914286, 0.966292, 0.912621, 0.800000, 1.000000, 0.911765, 1.000000, 0.950495, 0.904762, 0.937500, 1.000000, 
42.0, 0.935622, 1.000000, 0.924419, 0.980000, 0.885714, 0.966292, 0.902913, 0.766667, 1.000000, 0.897059, 1.000000, 0.950495, 0.892857, 0.927083, 1.000000, 
43.0, 0.927039, 1.000000, 0.912791, 0.980000, 0.857143, 0.966292, 0.883495, 0.700000, 1.000000, 0.867647, 1.000000, 0.950495, 0.869048, 0.906250, 1.000000, 
44.0, 0.922747, 1.000000, 0.906977, 0.980000, 0.828571, 0.966292, 0.873786, 0.666667, 1.000000, 0.852941, 1.000000, 0.950495, 0.857143, 0.895833, 1.000000, 
48.0, 0.905579, 1.000000, 0.883721, 0.980000, 0.771429, 0.966292, 0.854369, 0.633333, 1.000000, 0.823529, 1.000000, 0.940594, 0.833333, 0.864583, 1.000000, 
49.0, 0.896996, 1.000000, 0.877907, 0.980000, 0.771429, 0.966292, 0.844660, 0.633333, 1.000000, 0.823529, 1.000000, 0.940594, 0.833333, 0.854167, 1.000000, 
50.0, 0.892704, 1.000000, 0.872093, 0.980000, 0.771429, 0.966292, 0.834951, 0.633333, 1.000000, 0.808824, 1.000000, 0.940594, 0.821429, 0.843750, 1.000000, 
51.0, 0.888412, 1.000000, 0.866279, 0.980000, 0.742857, 0.966292, 0.825243, 0.600000, 1.000000, 0.794118, 1.000000, 0.940594, 0.809524, 0.833333, 1.000000, 
53.0, 0.879828, 1.000000, 0.854651, 0.980000, 0.714286, 0.955056, 0.815534, 0.600000, 1.000000, 0.794118, 1.000000, 0.930693, 0.797619, 0.833333, 1.000000, 
54.0, 0.866953, 1.000000, 0.837209, 0.980000, 0.685714, 0.943820, 0.796117, 0.600000, 0.967742, 0.779412, 0.966667, 0.920792, 0.785714, 0.822917, 0.966667, 
57.0, 0.862661, 1.000000, 0.831395, 0.980000, 0.685714, 0.943820, 0.786408, 0.600000, 0.967742, 0.764706, 0.966667, 0.920792, 0.773810, 0.812500, 0.966667, 
58.0, 0.845494, 1.000000, 0.808140, 0.980000, 0.657143, 0.932584, 0.776699, 0.600000, 0.967742, 0.750000, 0.966667, 0.900990, 0.761905, 0.791667, 0.966667, 
60.0, 0.836910, 1.000000, 0.802326, 0.980000, 0.657143, 0.921348, 0.766990, 0.600000, 0.967742, 0.750000, 0.966667, 0.900990, 0.761905, 0.781250, 0.966667, 
62.0, 0.832618, 1.000000, 0.796512, 0.980000, 0.657143, 0.921348, 0.766990, 0.600000, 0.967742, 0.735294, 0.966667, 0.900990, 0.761905, 0.770833, 0.966667, 
63.0, 0.824034, 0.966667, 0.796512, 0.940000, 0.657143, 0.898876, 0.766990, 0.600000, 0.967742, 0.735294, 0.966667, 0.881188, 0.761905, 0.770833, 0.966667, 
64.0, 0.815451, 0.933333, 0.790698, 0.940000, 0.628571, 0.887640, 0.757282, 0.600000, 0.967742, 0.735294, 0.966667, 0.861386, 0.761905, 0.770833, 0.966667, 
66.0, 0.811159, 0.933333, 0.784884, 0.940000, 0.628571, 0.887640, 0.747573, 0.600000, 0.967742, 0.720588, 0.966667, 0.861386, 0.761905, 0.760417, 0.966667, 
67.0, 0.806867, 0.900000, 0.784884, 0.940000, 0.628571, 0.876404, 0.747573, 0.600000, 0.967742, 0.720588, 0.966667, 0.851485, 0.761905, 0.760417, 0.966667, 
68.0, 0.802575, 0.900000, 0.779070, 0.940000, 0.628571, 0.876404, 0.737864, 0.566667, 0.967742, 0.705882, 0.966667, 0.851485, 0.750000, 0.750000, 0.966667, 
69.0, 0.793991, 0.900000, 0.773256, 0.940000, 0.600000, 0.865169, 0.728155, 0.566667, 0.967742, 0.705882, 0.966667, 0.851485, 0.738095, 0.750000, 0.966667, 
70.0, 0.789700, 0.900000, 0.773256, 0.940000, 0.571429, 0.865169, 0.718447, 0.566667, 0.935484, 0.705882, 0.933333, 0.841584, 0.738095, 0.750000, 0.933333, 
71.0, 0.781116, 0.900000, 0.761628, 0.940000, 0.571429, 0.865169, 0.718447, 0.566667, 0.935484, 0.691176, 0.933333, 0.841584, 0.738095, 0.739583, 0.933333, 
72.0, 0.772532, 0.900000, 0.750000, 0.940000, 0.542857, 0.865169, 0.708738, 0.566667, 0.935484, 0.691176, 0.933333, 0.831683, 0.738095, 0.729167, 0.933333, 
73.0, 0.763948, 0.866667, 0.744186, 0.920000, 0.542857, 0.842697, 0.708738, 0.566667, 0.903226, 0.691176, 0.900000, 0.821782, 0.738095, 0.729167, 0.900000, 
74.0, 0.755365, 0.866667, 0.732558, 0.920000, 0.542857, 0.842697, 0.689320, 0.533333, 0.903226, 0.676471, 0.900000, 0.821782, 0.726190, 0.708333, 0.900000, 
75.0, 0.738197, 0.833333, 0.715116, 0.900000, 0.542857, 0.831461, 0.669903, 0.500000, 0.903226, 0.647059, 0.900000, 0.811881, 0.702381, 0.687500, 0.900000, 
76.0, 0.729614, 0.833333, 0.703488, 0.900000, 0.514286, 0.831461, 0.660194, 0.500000, 0.903226, 0.647059, 0.900000, 0.801980, 0.690476, 0.677083, 0.900000, 
77.0, 0.721030, 0.833333, 0.697674, 0.900000, 0.485714, 0.820225, 0.650485, 0.500000, 0.870968, 0.647059, 0.866667, 0.782178, 0.690476, 0.677083, 0.866667, 
78.0, 0.716738, 0.833333, 0.691860, 0.900000, 0.485714, 0.820225, 0.640777, 0.466667, 0.870968, 0.632353, 0.866667, 0.782178, 0.678571, 0.666667, 0.866667, 
79.0, 0.708155, 0.833333, 0.680233, 0.900000, 0.485714, 0.820225, 0.631068, 0.466667, 0.870968, 0.602941, 0.866667, 0.782178, 0.666667, 0.645833, 0.866667, 
80.0, 0.703863, 0.833333, 0.674419, 0.900000, 0.485714, 0.820225, 0.631068, 0.466667, 0.870968, 0.588235, 0.866667, 0.782178, 0.666667, 0.635417, 0.866667, 
82.0, 0.695279, 0.833333, 0.662791, 0.900000, 0.457143, 0.820225, 0.611650, 0.466667, 0.870968, 0.573529, 0.866667, 0.772277, 0.654762, 0.625000, 0.866667, 
83.0, 0.686695, 0.800000, 0.656977, 0.900000, 0.457143, 0.797753, 0.611650, 0.466667, 0.838710, 0.573529, 0.833333, 0.762376, 0.642857, 0.625000, 0.833333, 
84.0, 0.682403, 0.800000, 0.651163, 0.900000, 0.457143, 0.786517, 0.611650, 0.466667, 0.838710, 0.573529, 0.833333, 0.752475, 0.642857, 0.625000, 0.833333, 
87.0, 0.678112, 0.800000, 0.651163, 0.900000, 0.457143, 0.786517, 0.611650, 0.466667, 0.838710, 0.573529, 0.833333, 0.742574, 0.642857, 0.625000, 0.833333, 
89.0, 0.673820, 0.800000, 0.651163, 0.900000, 0.457143, 0.786517, 0.611650, 0.466667, 0.838710, 0.573529, 0.833333, 0.732673, 0.642857, 0.625000, 0.833333, 
93.0, 0.669528, 0.800000, 0.645349, 0.900000, 0.457143, 0.786517, 0.601942, 0.466667, 0.838710, 0.573529, 0.833333, 0.732673, 0.642857, 0.614583, 0.833333, 
94.0, 0.665236, 0.800000, 0.639535, 0.900000, 0.457143, 0.786517, 0.592233, 0.466667, 0.838710, 0.573529, 0.833333, 0.732673, 0.630952, 0.604167, 0.833333, 
95.0, 0.660944, 0.800000, 0.633721, 0.900000, 0.457143, 0.786517, 0.582524, 0.433333, 0.838710, 0.558824, 0.833333, 0.732673, 0.619048, 0.593750, 0.833333, 
96.0, 0.652361, 0.800000, 0.627907, 0.880000, 0.457143, 0.775281, 0.572816, 0.400000, 0.838710, 0.544118, 0.833333, 0.722772, 0.607143, 0.583333, 0.833333, 
97.0, 0.648069, 0.800000, 0.622093, 0.880000, 0.457143, 0.775281, 0.563107, 0.400000, 0.838710, 0.544118, 0.833333, 0.722772, 0.607143, 0.572917, 0.833333, 
98.0, 0.643777, 0.800000, 0.616279, 0.880000, 0.457143, 0.775281, 0.553398, 0.400000, 0.838710, 0.544118, 0.833333, 0.722772, 0.607143, 0.562500, 0.833333, 
99.0, 0.639485, 0.800000, 0.610465, 0.880000, 0.457143, 0.775281, 0.553398, 0.400000, 0.838710, 0.544118, 0.833333, 0.722772, 0.595238, 0.552083, 0.833333, 
100.0, 0.635193, 0.800000, 0.610465, 0.880000, 0.457143, 0.764045, 0.553398, 0.400000, 0.838710, 0.544118, 0.833333, 0.722772, 0.595238, 0.552083, 0.833333, 
101.0, 0.630901, 0.800000, 0.604651, 0.880000, 0.457143, 0.764045, 0.553398, 0.400000, 0.838710, 0.544118, 0.833333, 0.712871, 0.595238, 0.552083, 0.833333, 
102.0, 0.626609, 0.800000, 0.598837, 0.880000, 0.457143, 0.752809, 0.553398, 0.400000, 0.838710, 0.544118, 0.833333, 0.712871, 0.583333, 0.552083, 0.833333, 
105.0, 0.622318, 0.800000, 0.593023, 0.880000, 0.457143, 0.752809, 0.543689, 0.366667, 0.838710, 0.529412, 0.833333, 0.712871, 0.571429, 0.541667, 0.833333, 
108.0, 0.609442, 0.800000, 0.575581, 0.860000, 0.457143, 0.730337, 0.533981, 0.366667, 0.838710, 0.514706, 0.833333, 0.693069, 0.559524, 0.531250, 0.833333, 
112.0, 0.600858, 0.800000, 0.563953, 0.860000, 0.457143, 0.730337, 0.514563, 0.300000, 0.838710, 0.485294, 0.833333, 0.693069, 0.535714, 0.510417, 0.833333, 
114.0, 0.596567, 0.800000, 0.558140, 0.840000, 0.457143, 0.719101, 0.514563, 0.300000, 0.838710, 0.485294, 0.833333, 0.683168, 0.535714, 0.510417, 0.833333, 
116.0, 0.583691, 0.800000, 0.540698, 0.840000, 0.457143, 0.685393, 0.514563, 0.300000, 0.838710, 0.485294, 0.833333, 0.663366, 0.535714, 0.510417, 0.833333, 
119.0, 0.575107, 0.800000, 0.529070, 0.840000, 0.457143, 0.662921, 0.514563, 0.300000, 0.838710, 0.485294, 0.800000, 0.653465, 0.523810, 0.510417, 0.800000, 
121.0, 0.566524, 0.800000, 0.517442, 0.840000, 0.428571, 0.662921, 0.495146, 0.300000, 0.838710, 0.455882, 0.800000, 0.653465, 0.500000, 0.489583, 0.800000, 
122.0, 0.549356, 0.800000, 0.505814, 0.820000, 0.428571, 0.640449, 0.485437, 0.266667, 0.838710, 0.441176, 0.800000, 0.643564, 0.488095, 0.468750, 0.800000, 
123.0, 0.540773, 0.800000, 0.494186, 0.800000, 0.428571, 0.629213, 0.475728, 0.233333, 0.838710, 0.426471, 0.800000, 0.633663, 0.476190, 0.458333, 0.800000, 
124.0, 0.536481, 0.800000, 0.488372, 0.800000, 0.400000, 0.629213, 0.466019, 0.233333, 0.838710, 0.426471, 0.800000, 0.633663, 0.464286, 0.447917, 0.800000, 
125.0, 0.532189, 0.800000, 0.482558, 0.800000, 0.400000, 0.617978, 0.466019, 0.233333, 0.838710, 0.426471, 0.800000, 0.633663, 0.452381, 0.447917, 0.800000, 
126.0, 0.527897, 0.800000, 0.476744, 0.780000, 0.400000, 0.606742, 0.466019, 0.233333, 0.838710, 0.426471, 0.766667, 0.623762, 0.452381, 0.447917, 0.766667, 
127.0, 0.523605, 0.800000, 0.470930, 0.780000, 0.400000, 0.606742, 0.456311, 0.233333, 0.838710, 0.411765, 0.766667, 0.623762, 0.440476, 0.437500, 0.766667, 
130.0, 0.510730, 0.800000, 0.465116, 0.760000, 0.371429, 0.595506, 0.446602, 0.233333, 0.806452, 0.411765, 0.766667, 0.594059, 0.440476, 0.437500, 0.766667, 
131.0, 0.502146, 0.800000, 0.459302, 0.760000, 0.371429, 0.595506, 0.446602, 0.233333, 0.806452, 0.397059, 0.766667, 0.584158, 0.440476, 0.427083, 0.766667, 
133.0, 0.497854, 0.800000, 0.453488, 0.760000, 0.371429, 0.595506, 0.436893, 0.233333, 0.806452, 0.382353, 0.766667, 0.584158, 0.428571, 0.416667, 0.766667, 
134.0, 0.493562, 0.800000, 0.447674, 0.760000, 0.371429, 0.595506, 0.427184, 0.200000, 0.806452, 0.367647, 0.766667, 0.584158, 0.416667, 0.406250, 0.766667, 
139.0, 0.489270, 0.800000, 0.441860, 0.760000, 0.371429, 0.595506, 0.427184, 0.200000, 0.806452, 0.367647, 0.766667, 0.584158, 0.416667, 0.395833, 0.766667, 
140.0, 0.472103, 0.800000, 0.418605, 0.740000, 0.371429, 0.584270, 0.417476, 0.166667, 0.774194, 0.338235, 0.733333, 0.574257, 0.380952, 0.364583, 0.733333, 
141.0, 0.467811, 0.800000, 0.412791, 0.740000, 0.342857, 0.584270, 0.407767, 0.166667, 0.774194, 0.338235, 0.733333, 0.574257, 0.369048, 0.364583, 0.733333, 
142.0, 0.459227, 0.766667, 0.406977, 0.740000, 0.314286, 0.573034, 0.398058, 0.166667, 0.709677, 0.338235, 0.666667, 0.554455, 0.369048, 0.364583, 0.666667, 
143.0, 0.442060, 0.733333, 0.389535, 0.720000, 0.314286, 0.550562, 0.378641, 0.166667, 0.677419, 0.323529, 0.633333, 0.534653, 0.357143, 0.343750, 0.633333, 
145.0, 0.433476, 0.733333, 0.383721, 0.700000, 0.314286, 0.539326, 0.378641, 0.166667, 0.677419, 0.323529, 0.633333, 0.524752, 0.357143, 0.333333, 0.633333, 
146.0, 0.424893, 0.733333, 0.377907, 0.700000, 0.285714, 0.539326, 0.368932, 0.166667, 0.677419, 0.323529, 0.633333, 0.514851, 0.345238, 0.333333, 0.633333, 
147.0, 0.420601, 0.733333, 0.372093, 0.700000, 0.285714, 0.528090, 0.368932, 0.166667, 0.677419, 0.323529, 0.633333, 0.504950, 0.345238, 0.333333, 0.633333, 
148.0, 0.403433, 0.700000, 0.354651, 0.680000, 0.257143, 0.516854, 0.349515, 0.166667, 0.677419, 0.294118, 0.633333, 0.485149, 0.333333, 0.312500, 0.633333, 
