time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
18.0, 0.991031, 0.966667, 0.991935, 0.983333, 0.992908, 0.986301, 1.000000, 1.000000, 0.972222, 0.986486, 0.972222, 0.990741, 0.988095, 
19.0, 0.982063, 0.966667, 0.991935, 0.983333, 0.992908, 0.958904, 1.000000, 1.000000, 0.972222, 0.986486, 0.972222, 0.990741, 0.964286, 
20.0, 0.977578, 0.966667, 0.983871, 0.983333, 0.985816, 0.958904, 1.000000, 1.000000, 0.972222, 0.986486, 0.972222, 0.981481, 0.964286, 
22.0, 0.973094, 0.966667, 0.975806, 0.983333, 0.978723, 0.958904, 1.000000, 1.000000, 0.972222, 0.972973, 0.972222, 0.972222, 0.964286, 
23.0, 0.968610, 0.966667, 0.975806, 0.983333, 0.971631, 0.945205, 1.000000, 1.000000, 0.944444, 0.972973, 0.944444, 0.972222, 0.952381, 
27.0, 0.959641, 0.900000, 0.975806, 0.950000, 0.971631, 0.917808, 1.000000, 1.000000, 0.888889, 0.972973, 0.888889, 0.972222, 0.928571, 
28.0, 0.950673, 0.900000, 0.959677, 0.950000, 0.957447, 0.917808, 0.973684, 1.000000, 0.888889, 0.959459, 0.888889, 0.953704, 0.928571, 
33.0, 0.941704, 0.900000, 0.951613, 0.933333, 0.950355, 0.917808, 0.973684, 1.000000, 0.888889, 0.959459, 0.888889, 0.944444, 0.928571, 
36.0, 0.932735, 0.866667, 0.943548, 0.916667, 0.943262, 0.904110, 0.973684, 1.000000, 0.861111, 0.959459, 0.861111, 0.935185, 0.916667, 
38.0, 0.928251, 0.833333, 0.943548, 0.900000, 0.943262, 0.890411, 0.973684, 1.000000, 0.833333, 0.959459, 0.833333, 0.935185, 0.904762, 
41.0, 0.923767, 0.800000, 0.943548, 0.883333, 0.943262, 0.876712, 0.973684, 1.000000, 0.833333, 0.959459, 0.833333, 0.935185, 0.892857, 
46.0, 0.919283, 0.766667, 0.943548, 0.866667, 0.943262, 0.863014, 0.973684, 1.000000, 0.805556, 0.959459, 0.805556, 0.935185, 0.880952, 
