rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 1, 5.6634, 34.6278, 0.0000, 0.0000, 465.0000, 2659.0000, -2194.0000
r2, 2, 2, 0, 10.6796, 40.7767, 0.0000, 0.0000, 575.0000, 2659.0000, -2084.0000
r3, 4, 4, 1, 13.2686, 37.8641, 0.0000, 0.0000, 577.0000, 2659.0000, -2082.0000
r4, 3, 3, 1, 21.3592, 40.7767, 0.0000, 0.0000, 730.0000, 2659.0000, -1929.0000
r5, 2, 2, 0, 22.6537, 48.3819, 0.0000, 0.0000, 679.0000, 2659.0000, -1980.0000
r6, 3, 3, 1, 28.4790, 50.6472, 0.0000, 0.0000, 742.0000, 2659.0000, -1917.0000
r7, 3, 3, 0, 31.7152, 43.0421, 0.0000, 0.0000, 776.0000, 2659.0000, -1883.0000
r8, 3, 3, 0, 40.4531, 37.8641, 0.0000, 0.0000, 867.0000, 2659.0000, -1792.0000
r9, 5, 5, 1, 29.1262, 5.5016, 0.0000, 0.0000, 2659.0000, 544.0000, 2115.0000
r10, 4, 4, 2, 36.0841, 8.2524, 0.0000, 0.0000, 2659.0000, 575.0000, 2084.0000
r11, 3, 3, 1, 42.3948, 8.2524, 0.0000, 0.0000, 2659.0000, 575.0000, 2084.0000
r12, 5, 5, 1, 35.1133, 5.5016, 0.0000, 0.0000, 2659.0000, 490.0000, 2169.0000
r13, 2, 2, 0, 36.7314, 26.0518, 0.0000, 0.0000, 883.0000, 2659.0000, -1776.0000
