time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, 
8.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
15.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
16.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
17.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
18.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
29.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
42.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
46.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
57.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
63.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
65.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
67.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
71.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
72.0, 0.998344, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.992647, 1.000000, 0.994152, 1.000000, 0.994709, 1.000000, 0.995868, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995475, 1.000000, 
98.0, 0.996689, 0.970588, 1.000000, 0.984375, 1.000000, 0.987342, 1.000000, 0.992063, 1.000000, 0.985294, 1.000000, 0.988304, 1.000000, 0.989418, 1.000000, 0.991736, 1.000000, 1.000000, 0.969697, 1.000000, 0.980000, 1.000000, 0.980000, 1.000000, 1.000000, 0.990950, 1.000000, 
113.0, 0.995033, 0.970588, 1.000000, 0.984375, 1.000000, 0.987342, 1.000000, 0.992063, 1.000000, 0.977941, 1.000000, 0.982456, 1.000000, 0.984127, 1.000000, 0.987603, 1.000000, 1.000000, 0.969697, 1.000000, 0.980000, 1.000000, 0.980000, 1.000000, 1.000000, 0.986425, 1.000000, 
114.0, 0.995033, 0.970588, 1.000000, 0.984375, 1.000000, 0.987342, 1.000000, 0.992063, 1.000000, 0.977941, 1.000000, 0.982456, 1.000000, 0.984127, 1.000000, 0.987603, 1.000000, 1.000000, 0.969697, 1.000000, 0.980000, 1.000000, 0.980000, 1.000000, 1.000000, 0.986425, 1.000000, 
120.0, 0.993375, 0.941176, 1.000000, 0.968750, 1.000000, 0.974684, 1.000000, 0.984127, 1.000000, 0.970588, 1.000000, 0.976573, 1.000000, 0.978836, 1.000000, 0.983454, 1.000000, 1.000000, 0.969697, 1.000000, 0.980000, 1.000000, 0.980000, 1.000000, 0.969697, 0.981880, 1.000000, 
148.0, 0.993375, 0.941176, 1.000000, 0.968750, 1.000000, 0.974684, 1.000000, 0.984127, 1.000000, 0.970588, 1.000000, 0.976573, 1.000000, 0.978836, 1.000000, 0.983454, 1.000000, 1.000000, 0.969697, 1.000000, 0.980000, 1.000000, 0.980000, 1.000000, 0.969697, 0.981880, 1.000000, 
160.0, 0.991714, 0.911765, 1.000000, 0.953125, 1.000000, 0.962025, 1.000000, 0.976190, 1.000000, 0.963235, 1.000000, 0.970690, 1.000000, 0.973545, 1.000000, 0.979304, 1.000000, 1.000000, 0.939394, 1.000000, 0.960000, 1.000000, 0.960000, 1.000000, 0.939394, 0.977313, 1.000000, 
168.0, 0.991714, 0.911765, 1.000000, 0.953125, 1.000000, 0.962025, 1.000000, 0.976190, 1.000000, 0.963235, 1.000000, 0.970690, 1.000000, 0.973545, 1.000000, 0.979304, 1.000000, 1.000000, 0.939394, 1.000000, 0.960000, 1.000000, 0.960000, 1.000000, 0.939394, 0.977313, 1.000000, 
169.0, 0.990050, 0.911765, 1.000000, 0.953125, 1.000000, 0.962025, 1.000000, 0.968254, 1.000000, 0.955882, 1.000000, 0.964807, 1.000000, 0.968254, 1.000000, 0.975155, 1.000000, 1.000000, 0.939394, 1.000000, 0.960000, 1.000000, 0.960000, 1.000000, 0.939394, 0.972724, 1.000000, 
171.0, 0.988386, 0.911765, 1.000000, 0.953125, 1.000000, 0.962025, 1.000000, 0.960317, 1.000000, 0.955882, 1.000000, 0.964807, 1.000000, 0.962963, 1.000000, 0.971005, 1.000000, 1.000000, 0.909091, 1.000000, 0.940000, 1.000000, 0.940000, 1.000000, 0.939394, 0.972724, 1.000000, 
