time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, 
10.0, 0.994565, 0.971429, 1.000000, 0.984848, 1.000000, 0.988372, 1.000000, 1.000000, 0.968750, 
35.0, 0.994565, 0.971429, 1.000000, 0.984848, 1.000000, 0.988372, 1.000000, 1.000000, 0.968750, 
99.0, 0.989101, 0.971429, 1.000000, 0.984848, 1.000000, 0.976744, 1.000000, 1.000000, 0.968750, 
204.0, 0.983636, 0.971429, 1.000000, 0.969697, 1.000000, 0.965116, 1.000000, 1.000000, 0.968750, 
210.0, 0.978171, 0.942857, 1.000000, 0.954545, 1.000000, 0.953488, 1.000000, 1.000000, 0.937500, 
232.0, 0.967242, 0.914286, 1.000000, 0.924242, 1.000000, 0.930233, 1.000000, 1.000000, 0.937500, 
279.0, 0.961777, 0.885714, 1.000000, 0.909091, 1.000000, 0.918605, 1.000000, 1.000000, 0.906250, 
295.0, 0.956313, 0.857143, 1.000000, 0.893939, 1.000000, 0.906977, 1.000000, 1.000000, 0.875000, 
355.0, 0.950848, 0.857143, 1.000000, 0.893939, 1.000000, 0.906977, 0.990000, 1.000000, 0.875000, 
386.0, 0.945383, 0.828571, 1.000000, 0.878788, 1.000000, 0.895349, 0.990000, 1.000000, 0.843750, 
426.0, 0.939919, 0.800000, 1.000000, 0.863636, 1.000000, 0.883721, 0.990000, 1.000000, 0.812500, 
493.0, 0.934454, 0.771429, 1.000000, 0.848485, 1.000000, 0.872093, 0.990000, 1.000000, 0.781250, 
529.0, 0.928989, 0.742857, 1.000000, 0.833333, 1.000000, 0.860465, 0.990000, 1.000000, 0.781250, 
621.0, 0.923525, 0.714286, 1.000000, 0.818182, 1.000000, 0.848837, 0.990000, 1.000000, 0.750000, 
629.0, 0.918060, 0.685714, 1.000000, 0.803030, 1.000000, 0.837209, 0.990000, 1.000000, 0.718750, 
659.0, 0.912596, 0.657143, 1.000000, 0.787879, 1.000000, 0.825581, 0.990000, 1.000000, 0.687500, 
667.0, 0.907131, 0.628571, 1.000000, 0.772727, 1.000000, 0.813953, 0.990000, 1.000000, 0.656250, 
718.0, 0.901666, 0.628571, 1.000000, 0.757576, 1.000000, 0.802326, 0.990000, 1.000000, 0.656250, 
752.0, 0.896202, 0.628571, 1.000000, 0.742424, 1.000000, 0.790698, 0.990000, 1.000000, 0.656250, 
779.0, 0.890737, 0.600000, 1.000000, 0.727273, 1.000000, 0.779070, 0.990000, 1.000000, 0.656250, 
793.0, 0.885272, 0.571429, 1.000000, 0.712121, 1.000000, 0.767442, 0.990000, 1.000000, 0.625000, 
826.0, 0.879808, 0.542857, 1.000000, 0.696970, 1.000000, 0.755814, 0.990000, 1.000000, 0.593750, 
833.0, 0.874343, 0.542857, 1.000000, 0.681818, 1.000000, 0.744186, 0.990000, 1.000000, 0.593750, 
858.0, 0.868878, 0.542857, 1.000000, 0.681818, 0.989583, 0.732558, 0.990000, 1.000000, 0.593750, 
869.0, 0.863414, 0.542857, 1.000000, 0.681818, 0.979167, 0.720930, 0.990000, 1.000000, 0.593750, 
872.0, 0.857949, 0.542857, 0.987805, 0.681818, 0.968750, 0.720930, 0.980000, 1.000000, 0.593750, 
967.0, 0.852484, 0.514286, 0.987805, 0.666667, 0.968750, 0.709302, 0.980000, 1.000000, 0.593750, 
977.0, 0.847020, 0.514286, 0.987805, 0.651515, 0.968750, 0.709302, 0.970000, 1.000000, 0.593750, 
982.0, 0.841555, 0.485714, 0.987805, 0.636364, 0.968750, 0.697674, 0.970000, 1.000000, 0.562500, 
