time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, 
10.0, 0.994565, 0.966667, 1.000000, 0.983607, 1.000000, 0.989011, 1.000000, 1.000000, 0.969697, 1.000000, 0.982143, 
30.0, 0.989130, 0.966667, 0.989247, 0.983607, 0.989247, 0.989011, 0.989583, 0.980769, 0.969697, 0.987805, 0.982143, 
35.0, 0.989130, 0.966667, 0.989247, 0.983607, 0.989247, 0.989011, 0.989583, 0.980769, 0.969697, 0.987805, 0.982143, 
99.0, 0.983666, 0.966667, 0.989247, 0.983607, 0.989247, 0.978022, 0.989583, 0.980769, 0.969697, 0.987805, 0.982143, 
185.0, 0.978201, 0.933333, 0.989247, 0.967213, 0.989247, 0.967033, 0.989583, 0.980769, 0.969697, 0.987805, 0.964286, 
204.0, 0.972736, 0.933333, 0.989247, 0.950820, 0.989247, 0.956044, 0.989583, 0.980769, 0.969697, 0.987805, 0.946429, 
210.0, 0.967271, 0.900000, 0.989247, 0.934426, 0.989247, 0.945055, 0.989583, 0.980769, 0.939394, 0.987805, 0.928571, 
232.0, 0.961806, 0.866667, 0.989247, 0.918033, 0.989247, 0.934066, 0.989583, 0.980769, 0.939394, 0.987805, 0.910714, 
279.0, 0.956342, 0.833333, 0.989247, 0.901639, 0.989247, 0.923077, 0.989583, 0.980769, 0.909091, 0.987805, 0.892857, 
295.0, 0.950877, 0.833333, 0.989247, 0.885246, 0.989247, 0.912088, 0.989583, 0.980769, 0.878788, 0.987805, 0.875000, 
386.0, 0.945412, 0.800000, 0.989247, 0.868852, 0.989247, 0.901099, 0.989583, 0.980769, 0.848485, 0.987805, 0.857143, 
426.0, 0.939947, 0.766667, 0.989247, 0.852459, 0.989247, 0.890110, 0.989583, 0.980769, 0.818182, 0.987805, 0.839286, 
469.0, 0.934482, 0.766667, 0.989247, 0.836066, 0.989247, 0.879121, 0.989583, 0.980769, 0.818182, 0.987805, 0.839286, 
493.0, 0.929018, 0.733333, 0.989247, 0.819672, 0.989247, 0.868132, 0.989583, 0.980769, 0.787879, 0.987805, 0.821429, 
621.0, 0.923553, 0.700000, 0.989247, 0.803279, 0.989247, 0.857143, 0.989583, 0.980769, 0.757576, 0.987805, 0.803571, 
659.0, 0.918088, 0.666667, 0.989247, 0.786885, 0.989247, 0.846154, 0.989583, 0.980769, 0.727273, 0.987805, 0.785714, 
667.0, 0.912623, 0.633333, 0.989247, 0.770492, 0.989247, 0.835165, 0.989583, 0.980769, 0.696970, 0.987805, 0.767857, 
718.0, 0.907158, 0.633333, 0.989247, 0.754098, 0.989247, 0.824176, 0.989583, 0.980769, 0.696970, 0.987805, 0.767857, 
779.0, 0.901693, 0.600000, 0.989247, 0.737705, 0.989247, 0.813187, 0.989583, 0.980769, 0.696970, 0.987805, 0.750000, 
793.0, 0.896229, 0.566667, 0.989247, 0.721311, 0.989247, 0.802198, 0.989583, 0.980769, 0.666667, 0.987805, 0.732143, 
817.0, 0.890764, 0.566667, 0.978376, 0.721311, 0.978376, 0.802198, 0.979056, 0.980769, 0.666667, 0.975457, 0.732143, 
826.0, 0.885299, 0.533333, 0.978376, 0.704918, 0.978376, 0.791209, 0.979056, 0.980769, 0.636364, 0.975457, 0.714286, 
833.0, 0.879834, 0.533333, 0.978376, 0.688525, 0.978376, 0.780220, 0.979056, 0.980769, 0.636364, 0.975457, 0.714286, 
858.0, 0.874369, 0.533333, 0.978376, 0.688525, 0.978376, 0.769231, 0.979056, 0.980769, 0.636364, 0.975457, 0.696429, 
869.0, 0.868905, 0.533333, 0.978376, 0.688525, 0.978376, 0.758242, 0.979056, 0.980769, 0.636364, 0.975457, 0.678571, 
872.0, 0.863440, 0.533333, 0.967506, 0.688525, 0.967506, 0.758242, 0.968528, 0.980769, 0.636364, 0.963110, 0.678571, 
967.0, 0.857975, 0.500000, 0.967506, 0.672131, 0.967506, 0.747253, 0.968528, 0.980769, 0.636364, 0.963110, 0.660714, 
977.0, 0.852510, 0.500000, 0.956635, 0.672131, 0.956635, 0.747253, 0.958001, 0.980769, 0.636364, 0.950762, 0.660714, 
982.0, 0.847045, 0.466667, 0.956635, 0.655738, 0.956635, 0.736264, 0.958001, 0.980769, 0.606061, 0.950762, 0.642857, 
1041.0, 0.841581, 0.466667, 0.956635, 0.655738, 0.956635, 0.725275, 0.958001, 0.980769, 0.575758, 0.950762, 0.625000, 
1055.0, 0.836116, 0.466667, 0.956635, 0.639344, 0.956635, 0.714286, 0.958001, 0.980769, 0.575758, 0.950762, 0.625000, 
1062.0, 0.830651, 0.466667, 0.956635, 0.622951, 0.956635, 0.703297, 0.958001, 0.980769, 0.575758, 0.950762, 0.607143, 
1075.0, 0.825186, 0.433333, 0.956635, 0.606557, 0.956635, 0.692308, 0.958001, 0.980769, 0.545455, 0.950762, 0.589286, 
1156.0, 0.819721, 0.433333, 0.945764, 0.606557, 0.945764, 0.692308, 0.947473, 0.980769, 0.545455, 0.938415, 0.589286, 
1228.0, 0.814257, 0.433333, 0.945764, 0.590164, 0.945764, 0.681319, 0.947473, 0.980769, 0.545455, 0.938415, 0.589286, 
1252.0, 0.808792, 0.400000, 0.945764, 0.573770, 0.945764, 0.670330, 0.947473, 0.980769, 0.515152, 0.938415, 0.571429, 
1271.0, 0.803327, 0.400000, 0.945764, 0.557377, 0.945764, 0.659341, 0.947473, 0.980769, 0.484848, 0.938415, 0.553571, 
1312.0, 0.797862, 0.366667, 0.945764, 0.540984, 0.945764, 0.648352, 0.947473, 0.980769, 0.454545, 0.938415, 0.535714, 
1427.0, 0.792397, 0.366667, 0.934893, 0.540984, 0.934893, 0.648352, 0.936946, 0.980769, 0.454545, 0.926067, 0.535714, 
1435.0, 0.786933, 0.366667, 0.934893, 0.540984, 0.934893, 0.637363, 0.936946, 0.980769, 0.454545, 0.926067, 0.535714, 
1499.0, 0.786933, 0.366667, 0.934893, 0.540984, 0.934893, 0.637363, 0.936946, 0.980769, 0.454545, 0.926067, 0.535714, 
1506.0, 0.781429, 0.366667, 0.934893, 0.524590, 0.934893, 0.626374, 0.936946, 0.980769, 0.424242, 0.926067, 0.517857, 
1508.0, 0.781429, 0.366667, 0.934893, 0.524590, 0.934893, 0.626374, 0.936946, 0.980769, 0.424242, 0.926067, 0.517857, 
1510.0, 0.781429, 0.366667, 0.934893, 0.524590, 0.934893, 0.626374, 0.936946, 0.980769, 0.424242, 0.926067, 0.517857, 
1516.0, 0.775848, 0.366667, 0.934893, 0.507668, 0.934893, 0.615188, 0.936946, 0.980769, 0.424242, 0.926067, 0.517857, 
1525.0, 0.770266, 0.366667, 0.934893, 0.507668, 0.934893, 0.615188, 0.926176, 0.980769, 0.424242, 0.913553, 0.517857, 
1542.0, 0.770266, 0.366667, 0.934893, 0.507668, 0.934893, 0.615188, 0.926176, 0.980769, 0.424242, 0.913553, 0.517857, 
1548.0, 0.764644, 0.366667, 0.923629, 0.507668, 0.923629, 0.615188, 0.915280, 0.980769, 0.424242, 0.900864, 0.517857, 
1557.0, 0.764644, 0.366667, 0.923629, 0.507668, 0.923629, 0.615188, 0.915280, 0.980769, 0.424242, 0.900864, 0.517857, 
1560.0, 0.758980, 0.366667, 0.912226, 0.507668, 0.912226, 0.604003, 0.904253, 0.980769, 0.424242, 0.900864, 0.517857, 
1563.0, 0.758980, 0.366667, 0.912226, 0.507668, 0.912226, 0.604003, 0.904253, 0.980769, 0.424242, 0.900864, 0.517857, 
1584.0, 0.753273, 0.366667, 0.900679, 0.507668, 0.900679, 0.604003, 0.893089, 0.960754, 0.424242, 0.887808, 0.517857, 
1605.0, 0.753273, 0.366667, 0.900679, 0.507668, 0.900679, 0.604003, 0.893089, 0.960754, 0.424242, 0.887808, 0.517857, 
1621.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1627.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1634.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1641.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1648.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1654.0, 0.747523, 0.330000, 0.900679, 0.490746, 0.900679, 0.592818, 0.893089, 0.960754, 0.424242, 0.887808, 0.499362, 
1667.0, 0.741495, 0.293333, 0.900679, 0.473823, 0.900679, 0.581633, 0.893089, 0.960754, 0.424242, 0.887808, 0.480867, 
1678.0, 0.741495, 0.293333, 0.900679, 0.473823, 0.900679, 0.581633, 0.893089, 0.960754, 0.424242, 0.887808, 0.480867, 
1690.0, 0.735417, 0.293333, 0.900679, 0.473823, 0.900679, 0.581633, 0.880685, 0.960754, 0.424242, 0.873012, 0.480867, 
1710.0, 0.735417, 0.293333, 0.900679, 0.473823, 0.900679, 0.581633, 0.880685, 0.960754, 0.424242, 0.873012, 0.480867, 
1726.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1745.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1762.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1779.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1787.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1793.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1804.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1812.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1836.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1854.0, 0.729288, 0.293333, 0.887812, 0.473823, 0.887812, 0.581633, 0.868281, 0.938410, 0.424242, 0.858215, 0.480867, 
1860.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1864.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1899.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1914.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1919.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1920.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1927.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1942.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1955.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1956.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1958.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1963.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
1970.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
2005.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
2007.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
2011.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
2028.0, 0.722598, 0.293333, 0.887812, 0.454870, 0.887812, 0.569515, 0.868281, 0.938410, 0.388889, 0.858215, 0.461633, 
