time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, 
10.0, 0.994595, 0.967742, 1.000000, 0.983871, 1.000000, 1.000000, 0.968750, 
30.0, 0.989189, 0.967742, 0.989362, 0.983871, 0.989362, 0.988372, 0.968750, 
35.0, 0.989189, 0.967742, 0.989362, 0.983871, 0.989362, 0.988372, 0.968750, 
99.0, 0.983754, 0.967742, 0.989362, 0.983871, 0.989362, 0.988372, 0.968750, 
185.0, 0.978319, 0.935484, 0.989362, 0.967742, 0.989362, 0.988372, 0.968750, 
204.0, 0.972884, 0.935484, 0.989362, 0.951613, 0.989362, 0.988372, 0.968750, 
210.0, 0.967449, 0.903226, 0.989362, 0.935484, 0.989362, 0.988372, 0.937500, 
232.0, 0.956579, 0.870968, 0.989362, 0.903226, 0.989362, 0.988372, 0.937500, 
279.0, 0.951143, 0.838710, 0.989362, 0.887097, 0.989362, 0.988372, 0.906250, 
295.0, 0.945708, 0.838710, 0.989362, 0.870968, 0.989362, 0.988372, 0.875000, 
355.0, 0.940273, 0.838710, 0.978608, 0.870968, 0.978608, 0.976606, 0.875000, 
386.0, 0.934838, 0.806452, 0.978608, 0.854839, 0.978608, 0.976606, 0.843750, 
426.0, 0.929403, 0.774194, 0.978608, 0.838710, 0.978608, 0.976606, 0.812500, 
469.0, 0.923968, 0.774194, 0.978608, 0.822581, 0.978608, 0.976606, 0.812500, 
493.0, 0.918533, 0.741935, 0.978608, 0.806452, 0.978608, 0.976606, 0.781250, 
529.0, 0.913098, 0.709677, 0.978608, 0.790323, 0.978608, 0.976606, 0.781250, 
621.0, 0.907663, 0.677419, 0.978608, 0.774194, 0.978608, 0.976606, 0.750000, 
629.0, 0.902228, 0.645161, 0.978608, 0.758065, 0.978608, 0.976606, 0.718750, 
659.0, 0.896792, 0.612903, 0.978608, 0.741935, 0.978608, 0.976606, 0.687500, 
718.0, 0.891357, 0.612903, 0.978608, 0.725806, 0.978608, 0.976606, 0.687500, 
752.0, 0.885922, 0.612903, 0.978608, 0.709677, 0.978608, 0.976606, 0.687500, 
779.0, 0.880487, 0.580645, 0.978608, 0.693548, 0.978608, 0.976606, 0.687500, 
793.0, 0.875052, 0.548387, 0.978608, 0.677419, 0.978608, 0.976606, 0.656250, 
817.0, 0.869617, 0.548387, 0.967854, 0.677419, 0.967854, 0.964839, 0.656250, 
826.0, 0.864182, 0.516129, 0.967854, 0.661290, 0.967854, 0.964839, 0.625000, 
833.0, 0.858747, 0.516129, 0.967854, 0.645161, 0.967854, 0.964839, 0.625000, 
858.0, 0.853312, 0.516129, 0.967854, 0.645161, 0.967854, 0.964839, 0.625000, 
869.0, 0.847876, 0.516129, 0.967854, 0.645161, 0.967854, 0.964839, 0.625000, 
872.0, 0.842441, 0.516129, 0.957100, 0.645161, 0.957100, 0.953073, 0.625000, 
967.0, 0.837006, 0.483871, 0.957100, 0.629032, 0.957100, 0.953073, 0.625000, 
982.0, 0.831571, 0.451613, 0.957100, 0.612903, 0.957100, 0.953073, 0.593750, 
1055.0, 0.826136, 0.451613, 0.957100, 0.596774, 0.957100, 0.953073, 0.593750, 
1062.0, 0.820701, 0.451613, 0.957100, 0.580645, 0.957100, 0.953073, 0.593750, 
1075.0, 0.815266, 0.419355, 0.957100, 0.564516, 0.957100, 0.953073, 0.562500, 
1156.0, 0.809831, 0.419355, 0.946346, 0.564516, 0.946346, 0.941307, 0.562500, 
1252.0, 0.804396, 0.387097, 0.946346, 0.548387, 0.946346, 0.941307, 0.531250, 
1271.0, 0.798960, 0.387097, 0.946346, 0.532258, 0.946346, 0.941307, 0.500000, 
1312.0, 0.793525, 0.354839, 0.946346, 0.516129, 0.946346, 0.941307, 0.468750, 
1435.0, 0.788090, 0.354839, 0.946346, 0.516129, 0.946346, 0.941307, 0.468750, 
1499.0, 0.788090, 0.354839, 0.946346, 0.516129, 0.946346, 0.941307, 0.468750, 
1506.0, 0.782617, 0.354839, 0.946346, 0.500000, 0.946346, 0.941307, 0.437500, 
1508.0, 0.782617, 0.354839, 0.946346, 0.500000, 0.946346, 0.941307, 0.437500, 
1512.0, 0.782617, 0.354839, 0.946346, 0.500000, 0.946346, 0.941307, 0.437500, 
1516.0, 0.777067, 0.354839, 0.946346, 0.483333, 0.946346, 0.941307, 0.437500, 
1525.0, 0.771516, 0.354839, 0.946346, 0.483333, 0.946346, 0.941307, 0.437500, 
1542.0, 0.771516, 0.354839, 0.946346, 0.483333, 0.946346, 0.941307, 0.437500, 
1548.0, 0.765926, 0.354839, 0.935342, 0.483333, 0.935342, 0.929239, 0.437500, 
1557.0, 0.765926, 0.354839, 0.935342, 0.483333, 0.935342, 0.929239, 0.437500, 
1563.0, 0.765926, 0.354839, 0.935342, 0.483333, 0.935342, 0.929239, 0.437500, 
1584.0, 0.760252, 0.354839, 0.924073, 0.483333, 0.924073, 0.916849, 0.437500, 
1605.0, 0.760252, 0.354839, 0.924073, 0.483333, 0.924073, 0.916849, 0.437500, 
