rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 7, 4, 3.4749, 41.1197, 0.0000, 0.0000, 288.0000, 364.0000, -76.0000
r2, 7, 7, 4, 6.5637, 44.4015, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r3, 5, 5, 2, 9.6525, 44.4015, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r4, 5, 5, 2, 12.3552, 44.4015, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r5, 5, 5, 2, 15.9266, 44.4015, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r6, 2, 2, 1, 17.6641, 45.5598, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r7, 3, 3, 1, 12.7413, 45.1737, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r8, 1, 1, 0, 22.5869, 45.5598, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r9, 5, 5, 3, 6.9498, 43.6293, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r10, 5, 5, 3, 9.8456, 45.1737, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r11, 5, 5, 3, 20.8494, 45.1737, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r12, 5, 5, 3, 24.9035, 43.6293, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r13, 5, 4, 2, 16.4093, 42.7606, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r14, 6, 5, 3, 31.5637, 44.0154, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r15, 4, 4, 2, 44.1120, 45.1737, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r16, 1, 1, 0, 48.3591, 45.5598, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r17, 3, 3, 0, 44.5946, 3.2819, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r18, 3, 3, 0, 46.6216, 5.0193, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
