time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, 
1.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
2.0, 0.999033, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995918, 1.000000, 0.997297, 1.000000, 0.997619, 1.000000, 0.997992, 1.000000, 1.000000, 1.000000, 
3.0, 0.999033, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995918, 1.000000, 0.997297, 1.000000, 0.997619, 1.000000, 0.997992, 1.000000, 1.000000, 1.000000, 
4.0, 0.999033, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995918, 1.000000, 0.997297, 1.000000, 0.997619, 1.000000, 0.997992, 1.000000, 1.000000, 1.000000, 
7.0, 0.996126, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.975610, 0.980392, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995192, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991837, 1.000000, 0.994595, 1.000000, 0.992857, 1.000000, 0.991968, 1.000000, 1.000000, 0.968750, 
9.0, 0.995157, 1.000000, 1.000000, 1.000000, 1.000000, 0.986486, 1.000000, 0.990385, 1.000000, 0.992537, 1.000000, 1.000000, 0.975610, 0.980392, 1.000000, 1.000000, 1.000000, 0.992857, 1.000000, 0.994709, 1.000000, 0.990385, 1.000000, 0.990909, 1.000000, 0.995098, 1.000000, 0.996622, 1.000000, 0.987755, 1.000000, 0.991892, 1.000000, 0.990476, 1.000000, 0.989960, 1.000000, 1.000000, 0.968750, 
10.0, 0.995157, 1.000000, 1.000000, 1.000000, 1.000000, 0.986486, 1.000000, 0.990385, 1.000000, 0.992537, 1.000000, 1.000000, 0.975610, 0.980392, 1.000000, 1.000000, 1.000000, 0.992857, 1.000000, 0.994709, 1.000000, 0.990385, 1.000000, 0.990909, 1.000000, 0.995098, 1.000000, 0.996622, 1.000000, 0.987755, 1.000000, 0.991892, 1.000000, 0.990476, 1.000000, 0.989960, 1.000000, 1.000000, 0.968750, 
11.0, 0.995157, 1.000000, 1.000000, 1.000000, 1.000000, 0.986486, 1.000000, 0.990385, 1.000000, 0.992537, 1.000000, 1.000000, 0.975610, 0.980392, 1.000000, 1.000000, 1.000000, 0.992857, 1.000000, 0.994709, 1.000000, 0.990385, 1.000000, 0.990909, 1.000000, 0.995098, 1.000000, 0.996622, 1.000000, 0.987755, 1.000000, 0.991892, 1.000000, 0.990476, 1.000000, 0.989960, 1.000000, 1.000000, 0.968750, 
13.0, 0.993215, 0.997768, 1.000000, 1.000000, 0.997658, 0.986486, 0.997792, 0.990385, 0.997792, 0.992537, 0.997812, 0.997863, 0.975610, 0.980392, 0.997792, 1.000000, 0.997753, 0.992857, 0.997753, 0.994709, 0.997753, 0.990385, 0.997753, 0.981734, 0.997653, 0.995098, 0.997653, 0.993232, 0.997792, 0.983657, 0.997653, 0.989182, 0.997653, 0.988090, 0.997792, 0.987948, 0.997792, 0.998043, 0.968750, 
14.0, 0.990302, 0.997768, 0.966667, 0.974359, 0.997658, 0.972785, 0.997792, 0.970965, 0.997792, 0.977499, 0.997812, 0.997863, 0.926829, 0.960784, 0.997792, 0.988372, 0.997753, 0.971273, 0.997753, 0.978751, 0.997753, 0.975891, 0.997753, 0.972559, 0.997653, 0.985246, 0.997653, 0.983062, 0.997792, 0.975459, 0.997653, 0.983762, 0.997653, 0.983316, 0.997792, 0.981911, 0.997792, 0.998043, 0.937500, 
