time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, 
1.0, 0.999035, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.995413, 1.000000, 1.000000, 1.000000, 0.996732, 1.000000, 0.993789, 1.000000, 0.995305, 1.000000, 1.000000, 1.000000, 0.997389, 1.000000, 0.997664, 1.000000, 1.000000, 0.966667, 1.000000, 0.981132, 0.997955, 1.000000, 0.997899, 1.000000, 
2.0, 0.998068, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.995413, 1.000000, 1.000000, 1.000000, 0.996732, 1.000000, 0.993789, 1.000000, 0.995305, 1.000000, 0.995238, 1.000000, 0.994778, 1.000000, 0.995327, 1.000000, 1.000000, 0.966667, 1.000000, 0.981132, 0.995910, 1.000000, 0.995794, 1.000000, 
3.0, 0.998068, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.995413, 1.000000, 1.000000, 1.000000, 0.996732, 1.000000, 0.993789, 1.000000, 0.995305, 1.000000, 0.995238, 1.000000, 0.994778, 1.000000, 0.995327, 1.000000, 1.000000, 0.966667, 1.000000, 0.981132, 0.995910, 1.000000, 0.995794, 1.000000, 
4.0, 0.998068, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.995413, 1.000000, 1.000000, 1.000000, 0.996732, 1.000000, 0.993789, 1.000000, 0.995305, 1.000000, 0.995238, 1.000000, 0.994778, 1.000000, 0.995327, 1.000000, 1.000000, 0.966667, 1.000000, 0.981132, 0.995910, 1.000000, 0.995794, 1.000000, 
7.0, 0.996128, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.995413, 1.000000, 1.000000, 1.000000, 0.996732, 1.000000, 0.987578, 1.000000, 0.985915, 1.000000, 0.990476, 1.000000, 0.992160, 1.000000, 0.992991, 1.000000, 1.000000, 0.933333, 1.000000, 0.962264, 0.991812, 1.000000, 0.993684, 1.000000, 
9.0, 0.995158, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 0.986301, 1.000000, 0.982759, 1.000000, 0.990826, 1.000000, 1.000000, 1.000000, 0.993464, 1.000000, 0.987578, 1.000000, 0.985915, 1.000000, 0.990476, 1.000000, 0.989542, 1.000000, 0.990654, 1.000000, 1.000000, 0.933333, 1.000000, 0.962264, 0.989762, 1.000000, 0.993684, 1.000000, 
10.0, 0.995158, 0.966667, 1.000000, 0.987013, 1.000000, 0.990654, 1.000000, 0.992806, 1.000000, 0.986301, 1.000000, 0.982759, 1.000000, 0.990826, 1.000000, 1.000000, 1.000000, 0.993464, 1.000000, 0.987578, 1.000000, 0.985915, 1.000000, 0.990476, 1.000000, 0.989542, 1.000000, 0.990654, 1.000000, 1.000000, 0.933333, 1.000000, 0.962264, 0.989762, 1.000000, 0.993684, 1.000000, 
13.0, 0.993216, 0.966667, 0.997817, 0.987013, 0.997817, 0.990654, 0.997817, 0.992806, 0.997817, 0.986301, 0.997849, 0.974138, 0.997849, 0.990826, 0.997849, 1.000000, 0.997788, 0.990196, 0.997849, 0.987578, 0.997849, 0.985915, 0.997863, 0.990476, 0.997722, 0.986925, 0.997788, 0.988318, 0.997849, 0.997835, 0.933333, 0.997925, 0.962264, 0.987713, 0.997863, 0.991570, 1.000000, 
14.0, 0.990303, 0.933333, 0.997817, 0.974026, 0.997817, 0.971963, 0.997817, 0.971223, 0.997817, 0.958904, 0.997849, 0.965517, 0.997849, 0.977064, 0.997849, 0.993243, 0.997788, 0.980392, 0.997849, 0.975155, 0.997849, 0.971831, 0.997863, 0.985714, 0.997722, 0.979071, 0.997788, 0.981308, 0.997849, 0.997835, 0.933333, 0.997925, 0.943396, 0.981566, 0.997863, 0.989456, 1.000000, 
15.0, 0.989332, 0.933333, 0.997817, 0.961039, 0.997817, 0.962617, 0.997817, 0.964029, 0.997817, 0.958904, 0.997849, 0.956897, 0.997849, 0.972477, 0.997849, 0.986486, 0.997788, 0.977124, 0.997849, 0.968944, 0.997849, 0.967136, 0.997863, 0.980952, 0.997722, 0.976453, 0.997788, 0.978972, 0.997849, 0.997835, 0.933333, 0.997925, 0.943396, 0.979516, 0.997863, 0.987341, 1.000000, 
