time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, 
6.0, 0.994048, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.984375, 
10.0, 0.988095, 0.966667, 1.000000, 0.980000, 1.000000, 1.000000, 1.000000, 1.000000, 0.984375, 
11.0, 0.982143, 0.966667, 1.000000, 0.960000, 1.000000, 1.000000, 0.980769, 0.985507, 0.984375, 
15.0, 0.976190, 0.933333, 1.000000, 0.940000, 1.000000, 1.000000, 0.961538, 0.971014, 0.984375, 
19.0, 0.970238, 0.900000, 1.000000, 0.920000, 1.000000, 1.000000, 0.942308, 0.956522, 0.984375, 
26.0, 0.964286, 0.866667, 1.000000, 0.900000, 1.000000, 1.000000, 0.942308, 0.956522, 0.984375, 
28.0, 0.952381, 0.866667, 0.991071, 0.880000, 0.985294, 1.000000, 0.923077, 0.942029, 0.968750, 
31.0, 0.946429, 0.866667, 0.982143, 0.860000, 0.985294, 1.000000, 0.923077, 0.942029, 0.968750, 
35.0, 0.940476, 0.866667, 0.982143, 0.840000, 0.985294, 1.000000, 0.923077, 0.942029, 0.968750, 
41.0, 0.922619, 0.800000, 0.973214, 0.820000, 0.985294, 1.000000, 0.903846, 0.913043, 0.953125, 
42.0, 0.916667, 0.766667, 0.973214, 0.800000, 0.985294, 1.000000, 0.884615, 0.898551, 0.953125, 
45.0, 0.910714, 0.733333, 0.973214, 0.780000, 0.985294, 1.000000, 0.865385, 0.884058, 0.953125, 
48.0, 0.898810, 0.700000, 0.973214, 0.740000, 0.985294, 1.000000, 0.846154, 0.869565, 0.953125, 
53.0, 0.892857, 0.666667, 0.973214, 0.720000, 0.985294, 1.000000, 0.826923, 0.855072, 0.953125, 
55.0, 0.886905, 0.633333, 0.973214, 0.720000, 0.985294, 1.000000, 0.807692, 0.840580, 0.953125, 
56.0, 0.880952, 0.600000, 0.973214, 0.700000, 0.985294, 1.000000, 0.807692, 0.840580, 0.953125, 
57.0, 0.875000, 0.566667, 0.973214, 0.680000, 0.985294, 1.000000, 0.807692, 0.826087, 0.953125, 
58.0, 0.869048, 0.566667, 0.973214, 0.680000, 0.985294, 1.000000, 0.788462, 0.811594, 0.953125, 
59.0, 0.863095, 0.566667, 0.973214, 0.680000, 0.985294, 1.000000, 0.788462, 0.811594, 0.937500, 
60.0, 0.845238, 0.533333, 0.973214, 0.640000, 0.970588, 1.000000, 0.750000, 0.782609, 0.937500, 
64.0, 0.839286, 0.500000, 0.973214, 0.620000, 0.970588, 1.000000, 0.730769, 0.768116, 0.937500, 
66.0, 0.833333, 0.500000, 0.964286, 0.600000, 0.970588, 1.000000, 0.711538, 0.753623, 0.937500, 
67.0, 0.827381, 0.500000, 0.955357, 0.600000, 0.955882, 1.000000, 0.711538, 0.753623, 0.921875, 
68.0, 0.821429, 0.500000, 0.955357, 0.600000, 0.955882, 1.000000, 0.692308, 0.739130, 0.921875, 
90.0, 0.815476, 0.500000, 0.946429, 0.600000, 0.955882, 1.000000, 0.692308, 0.724638, 0.921875, 
96.0, 0.809524, 0.500000, 0.937500, 0.600000, 0.955882, 1.000000, 0.673077, 0.710145, 0.921875, 
102.0, 0.803571, 0.500000, 0.928571, 0.580000, 0.955882, 1.000000, 0.673077, 0.695652, 0.921875, 
111.0, 0.797619, 0.466667, 0.928571, 0.580000, 0.941176, 0.980769, 0.673077, 0.695652, 0.906250, 
113.0, 0.791667, 0.466667, 0.928571, 0.580000, 0.941176, 0.961538, 0.673077, 0.695652, 0.890625, 
115.0, 0.785714, 0.433333, 0.928571, 0.580000, 0.941176, 0.961538, 0.653846, 0.681159, 0.890625, 
117.0, 0.779762, 0.433333, 0.928571, 0.580000, 0.941176, 0.961538, 0.634615, 0.666667, 0.890625, 
130.0, 0.773810, 0.433333, 0.919643, 0.580000, 0.926471, 0.942308, 0.634615, 0.666667, 0.875000, 
136.0, 0.767857, 0.400000, 0.919643, 0.560000, 0.926471, 0.942308, 0.615385, 0.652174, 0.875000, 
137.0, 0.761905, 0.400000, 0.919643, 0.540000, 0.926471, 0.942308, 0.615385, 0.652174, 0.875000, 
147.0, 0.755952, 0.400000, 0.910714, 0.540000, 0.911765, 0.923077, 0.615385, 0.652174, 0.859375, 
149.0, 0.744048, 0.400000, 0.892857, 0.540000, 0.882353, 0.884615, 0.615385, 0.652174, 0.828125, 
150.0, 0.738095, 0.400000, 0.883929, 0.540000, 0.867647, 0.884615, 0.615385, 0.652174, 0.828125, 
163.0, 0.732143, 0.400000, 0.875000, 0.520000, 0.867647, 0.884615, 0.596154, 0.637681, 0.828125, 
174.0, 0.726190, 0.400000, 0.875000, 0.500000, 0.867647, 0.884615, 0.596154, 0.637681, 0.828125, 
182.0, 0.720238, 0.400000, 0.866071, 0.480000, 0.867647, 0.884615, 0.596154, 0.623188, 0.828125, 
191.0, 0.714286, 0.400000, 0.857143, 0.480000, 0.867647, 0.884615, 0.596154, 0.608696, 0.828125, 
200.0, 0.708333, 0.400000, 0.848214, 0.480000, 0.852941, 0.884615, 0.596154, 0.608696, 0.828125, 
202.0, 0.702381, 0.366667, 0.848214, 0.480000, 0.852941, 0.884615, 0.576923, 0.594203, 0.828125, 
214.0, 0.696429, 0.366667, 0.839286, 0.480000, 0.838235, 0.884615, 0.576923, 0.594203, 0.828125, 
224.0, 0.690476, 0.366667, 0.830357, 0.460000, 0.838235, 0.884615, 0.576923, 0.594203, 0.828125, 
236.0, 0.684524, 0.366667, 0.821429, 0.460000, 0.838235, 0.884615, 0.576923, 0.579710, 0.828125, 
246.0, 0.678571, 0.366667, 0.812500, 0.440000, 0.838235, 0.884615, 0.557692, 0.565217, 0.828125, 
261.0, 0.672619, 0.366667, 0.803571, 0.440000, 0.823529, 0.865385, 0.557692, 0.565217, 0.812500, 
274.0, 0.666667, 0.333333, 0.803571, 0.420000, 0.823529, 0.865385, 0.538462, 0.550725, 0.812500, 
290.0, 0.660714, 0.300000, 0.803571, 0.420000, 0.823529, 0.865385, 0.538462, 0.550725, 0.812500, 
321.0, 0.654762, 0.300000, 0.794643, 0.400000, 0.823529, 0.865385, 0.538462, 0.550725, 0.812500, 
330.0, 0.648810, 0.300000, 0.785714, 0.400000, 0.823529, 0.865385, 0.519231, 0.536232, 0.812500, 
335.0, 0.642857, 0.300000, 0.776786, 0.380000, 0.823529, 0.865385, 0.500000, 0.521739, 0.812500, 
353.0, 0.636905, 0.300000, 0.776786, 0.380000, 0.823529, 0.865385, 0.480769, 0.507246, 0.812500, 
382.0, 0.630952, 0.300000, 0.767857, 0.380000, 0.808824, 0.865385, 0.480769, 0.507246, 0.796875, 
385.0, 0.619048, 0.300000, 0.750000, 0.380000, 0.779412, 0.865385, 0.480769, 0.507246, 0.781250, 
403.0, 0.613095, 0.300000, 0.741071, 0.380000, 0.764706, 0.865385, 0.480769, 0.507246, 0.781250, 
413.0, 0.607143, 0.300000, 0.732143, 0.380000, 0.764706, 0.865385, 0.461538, 0.492754, 0.781250, 
421.0, 0.601190, 0.300000, 0.723214, 0.360000, 0.764706, 0.865385, 0.442308, 0.478261, 0.781250, 
435.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
452.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
454.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
458.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
494.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
510.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
531.0, 0.589286, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.449275, 0.781250, 
534.0, 0.582949, 0.266667, 0.714286, 0.340000, 0.764706, 0.865385, 0.423077, 0.433783, 0.781250, 
576.0, 0.576613, 0.266667, 0.704762, 0.340000, 0.764706, 0.865385, 0.402930, 0.418291, 0.781250, 
580.0, 0.576613, 0.266667, 0.704762, 0.340000, 0.764706, 0.865385, 0.402930, 0.418291, 0.781250, 
599.0, 0.576613, 0.266667, 0.704762, 0.340000, 0.764706, 0.865385, 0.402930, 0.418291, 0.781250, 
606.0, 0.570134, 0.266667, 0.694974, 0.340000, 0.748436, 0.844780, 0.402930, 0.418291, 0.764266, 
671.0, 0.570134, 0.266667, 0.694974, 0.340000, 0.748436, 0.844780, 0.402930, 0.418291, 0.764266, 
672.0, 0.563581, 0.266667, 0.685045, 0.340000, 0.731804, 0.823661, 0.402930, 0.418291, 0.746897, 
676.0, 0.563581, 0.266667, 0.685045, 0.340000, 0.731804, 0.823661, 0.402930, 0.418291, 0.746897, 
704.0, 0.563581, 0.266667, 0.685045, 0.340000, 0.731804, 0.823661, 0.402930, 0.418291, 0.746897, 
718.0, 0.563581, 0.266667, 0.685045, 0.340000, 0.731804, 0.823661, 0.402930, 0.418291, 0.746897, 
745.0, 0.556708, 0.266667, 0.674666, 0.340000, 0.714785, 0.823661, 0.402930, 0.418291, 0.729113, 
754.0, 0.556708, 0.266667, 0.674666, 0.340000, 0.714785, 0.823661, 0.402930, 0.418291, 0.729113, 
766.0, 0.556708, 0.266667, 0.674666, 0.340000, 0.714785, 0.823661, 0.402930, 0.418291, 0.729113, 
767.0, 0.556708, 0.266667, 0.674666, 0.340000, 0.714785, 0.823661, 0.402930, 0.418291, 0.729113, 
824.0, 0.556708, 0.266667, 0.674666, 0.340000, 0.714785, 0.823661, 0.402930, 0.418291, 0.729113, 
849.0, 0.549478, 0.266667, 0.663784, 0.313846, 0.714785, 0.800781, 0.402930, 0.418291, 0.710418, 
884.0, 0.549478, 0.266667, 0.663784, 0.313846, 0.714785, 0.800781, 0.402930, 0.418291, 0.710418, 
942.0, 0.549478, 0.266667, 0.663784, 0.313846, 0.714785, 0.800781, 0.402930, 0.418291, 0.710418, 
964.0, 0.549478, 0.266667, 0.663784, 0.313846, 0.714785, 0.800781, 0.402930, 0.418291, 0.710418, 
996.0, 0.541951, 0.200000, 0.663784, 0.287692, 0.714785, 0.800781, 0.380545, 0.400862, 0.710418, 
999.0, 0.541951, 0.200000, 0.663784, 0.287692, 0.714785, 0.800781, 0.380545, 0.400862, 0.710418, 
1000.0, 0.541951, 0.200000, 0.663784, 0.287692, 0.714785, 0.800781, 0.380545, 0.400862, 0.710418, 
1006.0, 0.541951, 0.200000, 0.663784, 0.287692, 0.714785, 0.800781, 0.380545, 0.400862, 0.710418, 
1018.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1025.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1041.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1074.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1084.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1109.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1138.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1171.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1185.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1188.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1195.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1214.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1243.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1257.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1280.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1297.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1301.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
1308.0, 0.534096, 0.200000, 0.652139, 0.287692, 0.696915, 0.777229, 0.380545, 0.400862, 0.691218, 
