time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, 
6.0, 0.994048, 1.000000, 1.000000, 0.983333, 1.000000, 1.000000, 1.000000, 1.000000, 0.989583, 1.000000, 1.000000, 
10.0, 0.988095, 0.966667, 1.000000, 0.966667, 1.000000, 1.000000, 1.000000, 0.983607, 0.989583, 1.000000, 1.000000, 
11.0, 0.982143, 0.966667, 1.000000, 0.950000, 1.000000, 1.000000, 0.980769, 0.983607, 0.979167, 1.000000, 1.000000, 
15.0, 0.976190, 0.933333, 1.000000, 0.933333, 1.000000, 1.000000, 0.961538, 0.967213, 0.979167, 1.000000, 0.966667, 
26.0, 0.970238, 0.900000, 1.000000, 0.916667, 1.000000, 1.000000, 0.961538, 0.950820, 0.979167, 1.000000, 0.966667, 
28.0, 0.958333, 0.900000, 0.987805, 0.900000, 0.987179, 1.000000, 0.942308, 0.950820, 0.968750, 0.986111, 0.966667, 
31.0, 0.952381, 0.900000, 0.987805, 0.883333, 0.987179, 1.000000, 0.942308, 0.950820, 0.958333, 0.972222, 0.966667, 
35.0, 0.946429, 0.900000, 0.987805, 0.866667, 0.987179, 1.000000, 0.942308, 0.950820, 0.947917, 0.958333, 0.966667, 
41.0, 0.928571, 0.833333, 0.975610, 0.833333, 0.974359, 1.000000, 0.923077, 0.918033, 0.937500, 0.944444, 0.900000, 
42.0, 0.922619, 0.800000, 0.975610, 0.816667, 0.974359, 1.000000, 0.903846, 0.901639, 0.937500, 0.944444, 0.866667, 
45.0, 0.916667, 0.766667, 0.975610, 0.800000, 0.974359, 1.000000, 0.903846, 0.885246, 0.937500, 0.944444, 0.866667, 
48.0, 0.904762, 0.733333, 0.975610, 0.766667, 0.974359, 1.000000, 0.884615, 0.868852, 0.927083, 0.930556, 0.833333, 
53.0, 0.898810, 0.700000, 0.975610, 0.750000, 0.974359, 1.000000, 0.865385, 0.852459, 0.927083, 0.930556, 0.800000, 
56.0, 0.892857, 0.666667, 0.975610, 0.733333, 0.974359, 1.000000, 0.865385, 0.836066, 0.927083, 0.930556, 0.800000, 
57.0, 0.886905, 0.633333, 0.975610, 0.716667, 0.974359, 1.000000, 0.846154, 0.819672, 0.927083, 0.930556, 0.766667, 
58.0, 0.880952, 0.633333, 0.975610, 0.716667, 0.974359, 1.000000, 0.826923, 0.803279, 0.927083, 0.930556, 0.733333, 
59.0, 0.875000, 0.633333, 0.975610, 0.716667, 0.974359, 1.000000, 0.826923, 0.803279, 0.916667, 0.916667, 0.733333, 
60.0, 0.857143, 0.600000, 0.963415, 0.683333, 0.961538, 1.000000, 0.788462, 0.770492, 0.916667, 0.916667, 0.700000, 
66.0, 0.851190, 0.566667, 0.963415, 0.666667, 0.961538, 1.000000, 0.769231, 0.754098, 0.916667, 0.916667, 0.700000, 
67.0, 0.845238, 0.566667, 0.951220, 0.666667, 0.948718, 1.000000, 0.769231, 0.754098, 0.906250, 0.902778, 0.700000, 
68.0, 0.839286, 0.566667, 0.951220, 0.666667, 0.948718, 1.000000, 0.750000, 0.737705, 0.906250, 0.902778, 0.700000, 
90.0, 0.833333, 0.566667, 0.939024, 0.666667, 0.935897, 1.000000, 0.750000, 0.721311, 0.906250, 0.902778, 0.666667, 
96.0, 0.827381, 0.566667, 0.926829, 0.666667, 0.923077, 1.000000, 0.730769, 0.721311, 0.895833, 0.888889, 0.666667, 
108.0, 0.821429, 0.533333, 0.926829, 0.650000, 0.923077, 1.000000, 0.711538, 0.721311, 0.885417, 0.888889, 0.666667, 
111.0, 0.815476, 0.533333, 0.926829, 0.650000, 0.923077, 1.000000, 0.711538, 0.704918, 0.885417, 0.888889, 0.633333, 
113.0, 0.809524, 0.533333, 0.926829, 0.650000, 0.923077, 1.000000, 0.711538, 0.704918, 0.875000, 0.875000, 0.633333, 
115.0, 0.803571, 0.500000, 0.926829, 0.633333, 0.923077, 1.000000, 0.711538, 0.688525, 0.875000, 0.875000, 0.600000, 
117.0, 0.797619, 0.500000, 0.926829, 0.633333, 0.923077, 1.000000, 0.692308, 0.672131, 0.875000, 0.875000, 0.566667, 
130.0, 0.791667, 0.500000, 0.914634, 0.633333, 0.910256, 1.000000, 0.692308, 0.672131, 0.864583, 0.861111, 0.566667, 
136.0, 0.785714, 0.466667, 0.914634, 0.616667, 0.910256, 1.000000, 0.673077, 0.655738, 0.864583, 0.861111, 0.566667, 
147.0, 0.779762, 0.466667, 0.914634, 0.616667, 0.910256, 0.971429, 0.673077, 0.655738, 0.854167, 0.847222, 0.566667, 
149.0, 0.773810, 0.466667, 0.902439, 0.616667, 0.897436, 0.971429, 0.673077, 0.655738, 0.843750, 0.847222, 0.566667, 
150.0, 0.767857, 0.466667, 0.890244, 0.616667, 0.884615, 0.971429, 0.673077, 0.639344, 0.843750, 0.847222, 0.533333, 
161.0, 0.761905, 0.466667, 0.890244, 0.600000, 0.884615, 0.971429, 0.673077, 0.639344, 0.843750, 0.847222, 0.533333, 
174.0, 0.755952, 0.433333, 0.890244, 0.583333, 0.884615, 0.971429, 0.673077, 0.622951, 0.843750, 0.847222, 0.533333, 
181.0, 0.750000, 0.433333, 0.890244, 0.566667, 0.884615, 0.971429, 0.653846, 0.622951, 0.833333, 0.833333, 0.533333, 
182.0, 0.744048, 0.433333, 0.890244, 0.550000, 0.884615, 0.971429, 0.653846, 0.622951, 0.822917, 0.833333, 0.533333, 
191.0, 0.738095, 0.433333, 0.878049, 0.550000, 0.871795, 0.971429, 0.634615, 0.622951, 0.812500, 0.819444, 0.533333, 
196.0, 0.732143, 0.433333, 0.878049, 0.550000, 0.871795, 0.971429, 0.615385, 0.606557, 0.812500, 0.819444, 0.500000, 
200.0, 0.726190, 0.433333, 0.865854, 0.550000, 0.858974, 0.971429, 0.615385, 0.606557, 0.802083, 0.805556, 0.500000, 
202.0, 0.720238, 0.400000, 0.865854, 0.533333, 0.858974, 0.971429, 0.596154, 0.590164, 0.802083, 0.805556, 0.500000, 
214.0, 0.714286, 0.400000, 0.853659, 0.533333, 0.846154, 0.971429, 0.596154, 0.590164, 0.802083, 0.805556, 0.500000, 
224.0, 0.708333, 0.366667, 0.853659, 0.516667, 0.846154, 0.971429, 0.596154, 0.573770, 0.802083, 0.805556, 0.500000, 
236.0, 0.702381, 0.366667, 0.841463, 0.516667, 0.833333, 0.971429, 0.596154, 0.557377, 0.802083, 0.805556, 0.500000, 
246.0, 0.696429, 0.333333, 0.841463, 0.500000, 0.833333, 0.971429, 0.576923, 0.557377, 0.791667, 0.805556, 0.500000, 
261.0, 0.690476, 0.333333, 0.829268, 0.500000, 0.820513, 0.971429, 0.576923, 0.540984, 0.791667, 0.805556, 0.466667, 
274.0, 0.684524, 0.300000, 0.829268, 0.483333, 0.820513, 0.971429, 0.557692, 0.524590, 0.791667, 0.805556, 0.433333, 
290.0, 0.678571, 0.300000, 0.829268, 0.483333, 0.820513, 0.971429, 0.557692, 0.508197, 0.791667, 0.805556, 0.400000, 
306.0, 0.672619, 0.300000, 0.817073, 0.483333, 0.820513, 0.971429, 0.557692, 0.508197, 0.781250, 0.791667, 0.400000, 
321.0, 0.666667, 0.300000, 0.817073, 0.466667, 0.820513, 0.971429, 0.557692, 0.508197, 0.781250, 0.791667, 0.400000, 
335.0, 0.660714, 0.300000, 0.817073, 0.450000, 0.820513, 0.971429, 0.538462, 0.508197, 0.770833, 0.791667, 0.400000, 
353.0, 0.654762, 0.300000, 0.804878, 0.450000, 0.807692, 0.971429, 0.519231, 0.491803, 0.770833, 0.791667, 0.400000, 
382.0, 0.648810, 0.300000, 0.792683, 0.450000, 0.794872, 0.971429, 0.519231, 0.491803, 0.760417, 0.777778, 0.400000, 
385.0, 0.636905, 0.300000, 0.780488, 0.450000, 0.782051, 0.971429, 0.519231, 0.475410, 0.750000, 0.777778, 0.400000, 
397.0, 0.630952, 0.300000, 0.768293, 0.450000, 0.769231, 0.971429, 0.519231, 0.475410, 0.739583, 0.777778, 0.400000, 
403.0, 0.625000, 0.300000, 0.756098, 0.450000, 0.756410, 0.971429, 0.519231, 0.475410, 0.729167, 0.777778, 0.400000, 
413.0, 0.619048, 0.300000, 0.743902, 0.450000, 0.743590, 0.971429, 0.500000, 0.475410, 0.729167, 0.777778, 0.400000, 
421.0, 0.613095, 0.300000, 0.743902, 0.433333, 0.743590, 0.971429, 0.480769, 0.475410, 0.718750, 0.763889, 0.400000, 
433.0, 0.613095, 0.300000, 0.743902, 0.433333, 0.743590, 0.971429, 0.480769, 0.475410, 0.718750, 0.763889, 0.400000, 
435.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
445.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
452.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
454.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
458.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
472.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
494.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
510.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
511.0, 0.607085, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.480769, 0.475410, 0.708180, 0.749743, 0.400000, 
534.0, 0.600557, 0.300000, 0.731504, 0.433333, 0.730544, 0.971429, 0.460737, 0.457802, 0.708180, 0.749743, 0.400000, 
576.0, 0.594029, 0.300000, 0.717958, 0.433333, 0.716220, 0.971429, 0.440705, 0.457802, 0.696571, 0.749743, 0.400000, 
599.0, 0.594029, 0.300000, 0.717958, 0.433333, 0.716220, 0.971429, 0.440705, 0.457802, 0.696571, 0.749743, 0.400000, 
606.0, 0.587429, 0.300000, 0.704151, 0.433333, 0.716220, 0.940092, 0.440705, 0.457802, 0.684764, 0.733791, 0.400000, 
634.0, 0.580828, 0.257143, 0.704151, 0.414493, 0.716220, 0.940092, 0.420673, 0.440194, 0.684764, 0.733791, 0.400000, 
671.0, 0.580828, 0.257143, 0.704151, 0.414493, 0.716220, 0.940092, 0.420673, 0.440194, 0.684764, 0.733791, 0.400000, 
672.0, 0.574152, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.672751, 0.733791, 0.400000, 
676.0, 0.574152, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.672751, 0.733791, 0.400000, 
718.0, 0.574152, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.672751, 0.733791, 0.400000, 
745.0, 0.567235, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.716726, 0.400000, 
754.0, 0.567235, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.716726, 0.400000, 
766.0, 0.567235, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.716726, 0.400000, 
767.0, 0.567235, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.716726, 0.400000, 
824.0, 0.567235, 0.257143, 0.690068, 0.414493, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.716726, 0.400000, 
849.0, 0.559962, 0.257143, 0.690068, 0.392677, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.698808, 0.400000, 
884.0, 0.559962, 0.257143, 0.690068, 0.392677, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.698808, 0.400000, 
914.0, 0.559962, 0.257143, 0.690068, 0.392677, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.698808, 0.400000, 
942.0, 0.559962, 0.257143, 0.690068, 0.392677, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.698808, 0.400000, 
964.0, 0.559962, 0.257143, 0.690068, 0.392677, 0.701299, 0.907675, 0.420673, 0.440194, 0.660293, 0.698808, 0.400000, 
996.0, 0.552292, 0.192857, 0.690068, 0.369579, 0.701299, 0.907675, 0.399639, 0.419233, 0.660293, 0.698808, 0.366667, 
1000.0, 0.552292, 0.192857, 0.690068, 0.369579, 0.701299, 0.907675, 0.399639, 0.419233, 0.660293, 0.698808, 0.366667, 
1006.0, 0.552292, 0.192857, 0.690068, 0.369579, 0.701299, 0.907675, 0.399639, 0.419233, 0.660293, 0.698808, 0.366667, 
1018.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1025.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1041.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1074.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1084.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1109.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1138.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
1171.0, 0.544402, 0.192857, 0.674020, 0.369579, 0.684194, 0.869855, 0.399639, 0.419233, 0.646536, 0.680418, 0.366667, 
