rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 2, 2, 1, 18.2752, 26.0780, 0.0000, 0.0000, 31.1020, 3.8713, 27.2307
r2, 2, 2, 1, 25.0513, 26.0780, 0.0000, 0.0000, 18.4066, 3.8713, 14.5353
r3, 2, 2, 1, 32.2382, 26.0780, 0.0000, 0.0000, 17.8426, 3.8713, 13.9713
r4, 2, 2, 1, 40.8624, 26.0780, 0.0000, 0.0000, 15.6851, 3.8713, 11.8138
r5, 1, 1, 0, 48.0493, 26.0780, 0.0000, 0.0000, 13.6099, 3.8713, 9.7385
r6, 2, 2, 1, 6.7762, 19.7125, 0.0000, 0.0000, 1.4073, 23.3922, -21.9849
r7, 2, 2, 0, 25.0513, 18.2752, 0.0000, 0.0000, 3.9671, 31.1020, -27.1348
r8, 2, 2, 0, 31.0062, 18.2752, 0.0000, 0.0000, 4.2163, 31.1020, -26.8857
r9, 2, 2, 0, 37.9877, 18.2752, 0.0000, 0.0000, 4.4189, 31.1020, -26.6831
r10, 2, 2, 0, 45.7906, 18.2752, 0.0000, 0.0000, 4.9774, 31.1020, -26.1246
