time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
0.002738, 0.952772, 0.700000, 1.000000, 0.885246, 0.980952, 0.981481, 0.888000, 0.908497, 0.977778, 0.911602, 0.976471, 0.914414, 0.976471, 
0.150582, 0.950719, 0.700000, 1.000000, 0.885246, 0.976190, 0.976852, 0.888000, 0.908497, 0.966667, 0.911602, 0.964706, 0.914414, 0.964706, 
0.186174, 0.948665, 0.700000, 1.000000, 0.885246, 0.976190, 0.976852, 0.888000, 0.908497, 0.966667, 0.906077, 0.964706, 0.909910, 0.964706, 
0.238193, 0.944559, 0.666667, 1.000000, 0.877049, 0.971429, 0.972222, 0.880000, 0.901961, 0.966667, 0.900552, 0.964706, 0.905405, 0.964706, 
0.240931, 0.942505, 0.666667, 1.000000, 0.877049, 0.971429, 0.972222, 0.880000, 0.901961, 0.966667, 0.895028, 0.964706, 0.900901, 0.964706, 
0.303901, 0.940452, 0.633333, 1.000000, 0.868852, 0.971429, 0.972222, 0.872000, 0.895425, 0.966667, 0.889503, 0.964706, 0.896396, 0.964706, 
0.33128, 0.938398, 0.600000, 1.000000, 0.860656, 0.971429, 0.972222, 0.864000, 0.888889, 0.966667, 0.883978, 0.964706, 0.891892, 0.964706, 
0.344969, 0.936345, 0.600000, 1.000000, 0.860656, 0.971429, 0.972222, 0.864000, 0.888889, 0.966667, 0.883978, 0.964706, 0.891892, 0.964706, 
0.350445, 0.934292, 0.600000, 1.000000, 0.852459, 0.971429, 0.972222, 0.856000, 0.882353, 0.966667, 0.878453, 0.964706, 0.887387, 0.964706, 
0.364134, 0.932238, 0.600000, 0.992248, 0.852459, 0.966667, 0.967593, 0.856000, 0.882353, 0.955556, 0.878453, 0.952941, 0.887387, 0.952941, 
0.391513, 0.930185, 0.566667, 0.992248, 0.844262, 0.966667, 0.967593, 0.848000, 0.875817, 0.955556, 0.872928, 0.952941, 0.882883, 0.952941, 
0.405202, 0.926078, 0.566667, 0.992248, 0.844262, 0.966667, 0.967593, 0.848000, 0.862745, 0.955556, 0.861878, 0.952941, 0.873874, 0.952941, 
0.416153, 0.921971, 0.566667, 0.984496, 0.844262, 0.957143, 0.958333, 0.848000, 0.862745, 0.944444, 0.861878, 0.941176, 0.873874, 0.941176, 
0.443532, 0.919918, 0.566667, 0.984496, 0.844262, 0.957143, 0.958333, 0.848000, 0.862745, 0.944444, 0.861878, 0.941176, 0.873874, 0.941176, 
0.457221, 0.915811, 0.566667, 0.984496, 0.836066, 0.957143, 0.958333, 0.840000, 0.849673, 0.944444, 0.850829, 0.941176, 0.864865, 0.941176, 
0.462697, 0.913758, 0.566667, 0.984496, 0.836066, 0.957143, 0.958333, 0.840000, 0.849673, 0.944444, 0.850829, 0.941176, 0.864865, 0.941176, 
0.481862, 0.911704, 0.566667, 0.984496, 0.836066, 0.957143, 0.958333, 0.840000, 0.843137, 0.944444, 0.845304, 0.941176, 0.860360, 0.941176, 
0.501027, 0.909651, 0.566667, 0.984496, 0.836066, 0.957143, 0.958333, 0.840000, 0.843137, 0.944444, 0.839779, 0.941176, 0.855856, 0.941176, 
0.531143, 0.907598, 0.566667, 0.984496, 0.836066, 0.957143, 0.958333, 0.840000, 0.843137, 0.944444, 0.839779, 0.941176, 0.851351, 0.941176, 
0.539357, 0.903491, 0.566667, 0.976744, 0.836066, 0.947619, 0.949074, 0.840000, 0.843137, 0.944444, 0.839779, 0.941176, 0.851351, 0.941176, 
0.558522, 0.901437, 0.533333, 0.976744, 0.827869, 0.947619, 0.949074, 0.832000, 0.836601, 0.944444, 0.834254, 0.941176, 0.846847, 0.941176, 
0.577687, 0.899384, 0.533333, 0.968992, 0.827869, 0.942857, 0.944444, 0.832000, 0.836601, 0.944444, 0.834254, 0.941176, 0.846847, 0.941176, 
0.596851, 0.897331, 0.533333, 0.968992, 0.827869, 0.938095, 0.939815, 0.832000, 0.836601, 0.944444, 0.834254, 0.941176, 0.846847, 0.941176, 
0.613279, 0.895277, 0.533333, 0.961240, 0.827869, 0.933333, 0.935185, 0.832000, 0.836601, 0.933333, 0.834254, 0.929412, 0.846847, 0.929412, 
