time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
0.002738, 0.952772, 0.733333, 0.991525, 0.898305, 0.974747, 0.917722, 1.000000, 0.920792, 0.970930, 0.974747, 0.893443, 0.978166, 0.893443, 0.921397, 1.000000, 
0.150582, 0.950719, 0.733333, 0.991525, 0.898305, 0.969697, 0.917722, 0.981818, 0.920792, 0.965116, 0.969697, 0.893443, 0.973799, 0.893443, 0.921397, 0.981818, 
0.186174, 0.948665, 0.733333, 0.991525, 0.898305, 0.969697, 0.917722, 0.981818, 0.915842, 0.965116, 0.969697, 0.893443, 0.973799, 0.893443, 0.917031, 0.981818, 
0.199863, 0.946612, 0.733333, 0.983051, 0.898305, 0.964646, 0.917722, 0.981818, 0.915842, 0.959302, 0.964646, 0.893443, 0.969432, 0.893443, 0.917031, 0.981818, 
0.238193, 0.942505, 0.700000, 0.983051, 0.889831, 0.964646, 0.911392, 0.981818, 0.910891, 0.959302, 0.964646, 0.885246, 0.965066, 0.885246, 0.912664, 0.981818, 
0.240931, 0.940452, 0.700000, 0.983051, 0.889831, 0.964646, 0.905063, 0.981818, 0.905941, 0.959302, 0.964646, 0.885246, 0.965066, 0.885246, 0.908297, 0.981818, 
0.303901, 0.938398, 0.666667, 0.983051, 0.881356, 0.964646, 0.898734, 0.981818, 0.900990, 0.959302, 0.964646, 0.877049, 0.965066, 0.877049, 0.903930, 0.981818, 
0.33128, 0.936345, 0.633333, 0.983051, 0.872881, 0.964646, 0.892405, 0.981818, 0.896040, 0.959302, 0.964646, 0.868852, 0.965066, 0.868852, 0.899563, 0.981818, 
0.344969, 0.934292, 0.633333, 0.983051, 0.872881, 0.964646, 0.892405, 0.981818, 0.896040, 0.959302, 0.964646, 0.868852, 0.965066, 0.868852, 0.899563, 0.981818, 
0.350445, 0.932238, 0.633333, 0.983051, 0.864407, 0.964646, 0.886076, 0.981818, 0.891089, 0.959302, 0.964646, 0.860656, 0.965066, 0.860656, 0.895197, 0.981818, 
0.364134, 0.930185, 0.633333, 0.974576, 0.864407, 0.959596, 0.886076, 0.963636, 0.891089, 0.953488, 0.959596, 0.860656, 0.960699, 0.860656, 0.895197, 0.963636, 
0.366872, 0.928131, 0.633333, 0.974576, 0.864407, 0.954545, 0.886076, 0.963636, 0.891089, 0.947674, 0.954545, 0.860656, 0.956332, 0.860656, 0.895197, 0.963636, 
0.391513, 0.926078, 0.600000, 0.974576, 0.855932, 0.954545, 0.879747, 0.963636, 0.886139, 0.947674, 0.954545, 0.852459, 0.956332, 0.852459, 0.890830, 0.963636, 
0.405202, 0.921971, 0.600000, 0.974576, 0.855932, 0.954545, 0.867089, 0.963636, 0.876238, 0.947674, 0.954545, 0.852459, 0.956332, 0.852459, 0.882096, 0.963636, 
0.416153, 0.917864, 0.600000, 0.974576, 0.855932, 0.949495, 0.867089, 0.945455, 0.876238, 0.941860, 0.949495, 0.852459, 0.947598, 0.852459, 0.882096, 0.945455, 
0.443532, 0.915811, 0.600000, 0.974576, 0.855932, 0.949495, 0.867089, 0.945455, 0.876238, 0.936047, 0.949495, 0.852459, 0.947598, 0.852459, 0.882096, 0.945455, 
