time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, 
0.002738, 0.954825, 0.795455, 0.993103, 0.921788, 0.978261, 0.978261, 0.896825, 0.923445, 0.979079, 0.928870, 0.978992, 
0.150582, 0.952772, 0.795455, 0.993103, 0.921788, 0.973913, 0.973913, 0.896825, 0.923445, 0.974895, 0.928870, 0.974790, 
0.186174, 0.950719, 0.795455, 0.993103, 0.921788, 0.973913, 0.973913, 0.896825, 0.918660, 0.974895, 0.924686, 0.974790, 
0.199863, 0.948665, 0.795455, 0.986207, 0.921788, 0.969565, 0.969565, 0.896825, 0.918660, 0.970711, 0.924686, 0.970588, 
0.238193, 0.946612, 0.772727, 0.986207, 0.916201, 0.969565, 0.969565, 0.888889, 0.913876, 0.970711, 0.920502, 0.970588, 
0.240931, 0.944559, 0.772727, 0.986207, 0.910615, 0.969565, 0.969565, 0.888889, 0.909091, 0.970711, 0.916318, 0.970588, 
0.303901, 0.942505, 0.750000, 0.986207, 0.905028, 0.969565, 0.969565, 0.880952, 0.904306, 0.970711, 0.912134, 0.970588, 
0.33128, 0.940452, 0.727273, 0.986207, 0.899441, 0.969565, 0.969565, 0.873016, 0.899522, 0.970711, 0.907950, 0.970588, 
0.350445, 0.938398, 0.727273, 0.986207, 0.893855, 0.969565, 0.969565, 0.865079, 0.894737, 0.970711, 0.903766, 0.970588, 
0.364134, 0.936345, 0.727273, 0.979310, 0.893855, 0.965217, 0.965217, 0.865079, 0.894737, 0.966527, 0.903766, 0.966387, 
0.366872, 0.934292, 0.727273, 0.979310, 0.893855, 0.960870, 0.960870, 0.865079, 0.894737, 0.962343, 0.903766, 0.962185, 
0.391513, 0.932238, 0.704545, 0.979310, 0.888268, 0.960870, 0.960870, 0.857143, 0.889952, 0.962343, 0.899582, 0.962185, 
0.405202, 0.928131, 0.681818, 0.979310, 0.877095, 0.960870, 0.960870, 0.857143, 0.880383, 0.962343, 0.891213, 0.962185, 
0.416153, 0.924025, 0.681818, 0.972414, 0.877095, 0.952174, 0.952174, 0.857143, 0.880383, 0.953975, 0.891213, 0.953782, 
0.443532, 0.921971, 0.681818, 0.972414, 0.877095, 0.952174, 0.952174, 0.857143, 0.880383, 0.949791, 0.891213, 0.953782, 
0.457221, 0.919918, 0.681818, 0.972414, 0.871508, 0.952174, 0.952174, 0.849206, 0.875598, 0.949791, 0.887029, 0.953782, 
0.462697, 0.917864, 0.681818, 0.965517, 0.871508, 0.947826, 0.947826, 0.849206, 0.875598, 0.945607, 0.887029, 0.949580, 
0.481862, 0.915811, 0.681818, 0.965517, 0.865922, 0.947826, 0.947826, 0.849206, 0.870813, 0.945607, 0.882845, 0.949580, 
0.501027, 0.913758, 0.681818, 0.965517, 0.865922, 0.947826, 0.947826, 0.849206, 0.866029, 0.945607, 0.878661, 0.949580, 
0.531143, 0.911704, 0.659091, 0.965517, 0.860335, 0.947826, 0.947826, 0.849206, 0.861244, 0.945607, 0.874477, 0.949580, 
0.539357, 0.907598, 0.659091, 0.958621, 0.860335, 0.939130, 0.939130, 0.849206, 0.861244, 0.937238, 0.874477, 0.941176, 
0.558522, 0.905544, 0.636364, 0.958621, 0.854749, 0.939130, 0.939130, 0.841270, 0.856459, 0.937238, 0.870293, 0.941176, 
0.569473, 0.903491, 0.636364, 0.951724, 0.854749, 0.934783, 0.934783, 0.841270, 0.856459, 0.933054, 0.870293, 0.936975, 
0.577687, 0.901437, 0.636364, 0.944828, 0.854749, 0.930435, 0.930435, 0.841270, 0.856459, 0.928870, 0.870293, 0.932773, 
0.596851, 0.899384, 0.636364, 0.944828, 0.854749, 0.926087, 0.926087, 0.841270, 0.856459, 0.924686, 0.870293, 0.928571, 
0.613279, 0.897331, 0.636364, 0.937931, 0.854749, 0.921739, 0.921739, 0.841270, 0.856459, 0.920502, 0.870293, 0.924370, 
0.689938, 0.895277, 0.613636, 0.937931, 0.849162, 0.921739, 0.921739, 0.833333, 0.851675, 0.920502, 0.866109, 0.924370, 
0.70089, 0.893224, 0.613636, 0.931034, 0.849162, 0.921739, 0.921739, 0.833333, 0.851675, 0.916318, 0.866109, 0.920168, 
0.709103, 0.891170, 0.613636, 0.924138, 0.849162, 0.917391, 0.917391, 0.833333, 0.851675, 0.912134, 0.866109, 0.915966, 
0.711841, 0.889117, 0.613636, 0.924138, 0.843575, 0.917391, 0.917391, 0.825397, 0.846890, 0.912134, 0.861925, 0.915966, 
0.717317, 0.887064, 0.613636, 0.924138, 0.837989, 0.917391, 0.917391, 0.817460, 0.842105, 0.912134, 0.857741, 0.915966, 
0.733744, 0.885010, 0.613636, 0.924138, 0.832402, 0.917391, 0.917391, 0.817460, 0.837321, 0.912134, 0.853556, 0.915966, 
0.766598, 0.882957, 0.613636, 0.924138, 0.826816, 0.917391, 0.917391, 0.809524, 0.832536, 0.912134, 0.849372, 0.915966, 
0.807666, 0.880903, 0.613636, 0.924138, 0.826816, 0.913043, 0.913043, 0.809524, 0.832536, 0.907950, 0.849372, 0.911765, 
