time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, 
0.002738, 0.952772, 0.891892, 1.000000, 1.000000, 0.887931, 0.976471, 0.900000, 0.967742, 0.900000, 0.973958, 0.900000, 0.977876, 0.900000, 0.923977, 1.000000, 0.915423, 1.000000, 0.992593, 0.884211, 
0.150582, 0.950719, 0.891892, 0.980769, 0.980769, 0.887931, 0.964706, 0.900000, 0.961290, 0.900000, 0.968750, 0.900000, 0.973451, 0.900000, 0.923977, 0.980769, 0.915423, 0.980769, 0.992593, 0.884211, 
0.186174, 0.948665, 0.891892, 0.980769, 0.980769, 0.887931, 0.964706, 0.900000, 0.961290, 0.900000, 0.968750, 0.900000, 0.973451, 0.900000, 0.923977, 0.980769, 0.910448, 0.980769, 0.992593, 0.884211, 
0.199863, 0.946612, 0.891892, 0.980769, 0.980769, 0.887931, 0.964706, 0.900000, 0.954839, 0.900000, 0.963542, 0.900000, 0.969027, 0.900000, 0.923977, 0.980769, 0.910448, 0.980769, 0.992593, 0.884211, 
0.238193, 0.942505, 0.882883, 0.980769, 0.980769, 0.879310, 0.964706, 0.892308, 0.954839, 0.892308, 0.963542, 0.892308, 0.964602, 0.892308, 0.918129, 0.980769, 0.905473, 0.980769, 0.992593, 0.873684, 
0.240931, 0.940452, 0.882883, 0.980769, 0.980769, 0.879310, 0.964706, 0.892308, 0.954839, 0.892308, 0.963542, 0.892308, 0.964602, 0.892308, 0.912281, 0.980769, 0.900498, 0.980769, 0.985185, 0.873684, 
0.303901, 0.938398, 0.882883, 0.980769, 0.980769, 0.879310, 0.964706, 0.884615, 0.954839, 0.884615, 0.963542, 0.884615, 0.964602, 0.884615, 0.906433, 0.980769, 0.895522, 0.980769, 0.985185, 0.863158, 
0.33128, 0.936345, 0.873874, 0.980769, 0.980769, 0.870690, 0.964706, 0.876923, 0.954839, 0.876923, 0.963542, 0.876923, 0.964602, 0.876923, 0.900585, 0.980769, 0.890547, 0.980769, 0.985185, 0.852632, 
0.344969, 0.934292, 0.873874, 0.980769, 0.980769, 0.870690, 0.964706, 0.876923, 0.954839, 0.876923, 0.963542, 0.876923, 0.960177, 0.876923, 0.900585, 0.980769, 0.890547, 0.980769, 0.985185, 0.852632, 
0.350445, 0.932238, 0.873874, 0.980769, 0.980769, 0.870690, 0.964706, 0.869231, 0.954839, 0.869231, 0.963542, 0.869231, 0.960177, 0.869231, 0.894737, 0.980769, 0.885572, 0.980769, 0.985185, 0.842105, 
