time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, 
0.003, 0.964056, 0.935780, 0.977867, 0.914286, 0.977867, 0.925714, 0.977867, 0.943878, 0.980132, 0.945783, 0.977867, 0.939716, 0.977867, 0.955556, 0.990991, 0.983333, 0.978261, 0.978916, 0.935780, 0.975275, 0.935780, 0.983240, 0.935780, 
0.1, 0.962773, 0.935780, 0.977867, 0.914286, 0.977867, 0.925714, 0.977867, 0.938776, 0.980132, 0.945783, 0.977867, 0.936170, 0.977867, 0.955556, 0.990991, 0.983333, 0.978261, 0.978916, 0.935780, 0.975275, 0.935780, 0.983240, 0.935780, 
0.2, 0.958922, 0.926606, 0.975855, 0.907143, 0.975855, 0.920000, 0.975855, 0.933673, 0.977925, 0.933735, 0.975855, 0.929078, 0.975855, 0.946667, 0.987988, 0.983333, 0.971014, 0.975904, 0.926606, 0.972527, 0.926606, 0.977654, 0.926606, 
0.3, 0.955071, 0.926606, 0.971831, 0.900000, 0.971831, 0.914286, 0.971831, 0.928571, 0.973510, 0.927711, 0.971831, 0.925532, 0.971831, 0.942222, 0.981982, 0.983333, 0.971014, 0.972892, 0.926606, 0.969780, 0.926606, 0.972067, 0.926606, 
0.4, 0.946085, 0.871560, 0.969819, 0.857143, 0.969819, 0.880000, 0.969819, 0.897959, 0.971302, 0.897590, 0.969819, 0.904255, 0.969819, 0.915556, 0.978979, 0.983333, 0.971014, 0.969880, 0.871560, 0.967033, 0.871560, 0.972067, 0.871560, 
0.5, 0.938383, 0.862385, 0.963783, 0.842857, 0.963783, 0.862857, 0.963783, 0.882653, 0.964680, 0.879518, 0.963783, 0.893617, 0.963783, 0.902222, 0.969970, 0.983333, 0.963768, 0.960843, 0.862385, 0.958791, 0.862385, 0.960894, 0.862385, 
0.6, 0.931964, 0.853211, 0.959759, 0.835714, 0.959759, 0.857143, 0.959759, 0.877551, 0.960265, 0.867470, 0.959759, 0.882979, 0.959759, 0.888889, 0.963964, 0.983333, 0.963768, 0.954819, 0.853211, 0.953297, 0.853211, 0.955307, 0.853211, 
0.7, 0.920411, 0.825688, 0.951710, 0.814286, 0.951710, 0.840000, 0.951710, 0.862245, 0.951435, 0.849398, 0.951710, 0.865248, 0.951710, 0.871111, 0.954955, 0.966667, 0.956522, 0.948795, 0.825688, 0.947802, 0.825688, 0.955307, 0.825688, 
0.8, 0.905006, 0.825688, 0.933602, 0.814286, 0.933602, 0.828571, 0.933602, 0.846939, 0.931567, 0.843373, 0.933602, 0.854610, 0.933602, 0.857778, 0.930931, 0.950000, 0.949275, 0.936747, 0.825688, 0.936813, 0.825688, 0.921788, 0.825688, 
0.9, 0.896021, 0.825688, 0.927565, 0.807143, 0.927565, 0.817143, 0.927565, 0.831633, 0.927152, 0.825301, 0.927565, 0.840426, 0.927565, 0.844444, 0.924925, 0.950000, 0.934783, 0.930723, 0.825688, 0.928571, 0.825688, 0.916201, 0.825688, 
1.0, 0.881900, 0.788991, 0.915493, 0.778571, 0.915493, 0.794286, 0.915493, 0.811224, 0.918322, 0.801205, 0.915493, 0.822695, 0.915493, 0.826667, 0.912913, 0.950000, 0.920290, 0.921687, 0.788991, 0.917582, 0.788991, 0.893855, 0.788991, 
1.1, 0.862644, 0.752294, 0.901408, 0.742857, 0.901408, 0.760000, 0.901408, 0.780612, 0.905077, 0.765060, 0.901408, 0.794326, 0.901408, 0.795556, 0.900901, 0.950000, 0.920290, 0.903614, 0.752294, 0.898352, 0.752294, 0.877095, 0.752294, 
1.2, 0.852375, 0.743119, 0.889336, 0.735714, 0.889336, 0.754286, 0.889336, 0.775510, 0.891832, 0.753012, 0.889336, 0.787234, 0.889336, 0.786667, 0.888889, 0.916667, 0.913043, 0.894578, 0.743119, 0.890110, 0.743119, 0.865922, 0.743119, 
1.3, 0.845956, 0.733945, 0.883300, 0.728571, 0.883300, 0.748571, 0.883300, 0.765306, 0.885210, 0.740964, 0.883300, 0.780142, 0.883300, 0.768889, 0.879880, 0.883333, 0.913043, 0.894578, 0.733945, 0.890110, 0.733945, 0.860335, 0.733945, 
1.4, 0.835687, 0.733945, 0.871227, 0.728571, 0.871227, 0.742857, 0.871227, 0.760204, 0.874172, 0.734940, 0.871227, 0.773050, 0.871227, 0.760000, 0.864865, 0.883333, 0.891304, 0.879518, 0.733945, 0.873626, 0.733945, 0.843575, 0.733945, 
1.5, 0.822850, 0.678899, 0.865191, 0.685714, 0.865191, 0.702857, 0.865191, 0.724490, 0.867550, 0.698795, 0.865191, 0.748227, 0.865191, 0.733333, 0.855856, 0.883333, 0.876812, 0.870482, 0.678899, 0.865385, 0.678899, 0.843575, 0.678899, 
1.6, 0.817715, 0.669725, 0.859155, 0.678571, 0.859155, 0.697143, 0.859155, 0.719388, 0.860927, 0.698795, 0.859155, 0.744681, 0.859155, 0.733333, 0.846847, 0.883333, 0.855072, 0.861446, 0.669725, 0.857143, 0.669725, 0.837989, 0.669725, 
1.7, 0.807445, 0.651376, 0.849095, 0.664286, 0.849095, 0.680000, 0.849095, 0.704082, 0.852097, 0.680723, 0.849095, 0.734043, 0.849095, 0.720000, 0.840841, 0.866667, 0.840580, 0.852410, 0.651376, 0.846154, 0.651376, 0.832402, 0.651376, 
1.8, 0.804878, 0.642202, 0.847082, 0.657143, 0.847082, 0.674286, 0.847082, 0.698980, 0.849890, 0.674699, 0.847082, 0.730496, 0.847082, 0.715556, 0.837838, 0.866667, 0.840580, 0.852410, 0.642202, 0.846154, 0.642202, 0.832402, 0.642202, 
1.9, 0.798449, 0.623853, 0.843049, 0.642857, 0.843049, 0.657143, 0.843049, 0.683673, 0.845463, 0.656627, 0.843049, 0.719858, 0.843049, 0.702222, 0.831832, 0.866667, 0.833270, 0.849387, 0.623853, 0.843398, 0.623853, 0.832402, 0.623853, 
2.0, 0.794592, 0.623853, 0.839015, 0.642857, 0.839015, 0.657143, 0.839015, 0.678571, 0.841037, 0.650602, 0.839015, 0.716312, 0.839015, 0.697778, 0.825826, 0.866667, 0.825961, 0.843341, 0.623853, 0.837885, 0.623853, 0.826778, 0.623853, 
