time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, 
0.003, 0.967908, 0.955357, 0.977867, 0.938776, 0.977867, 0.944444, 0.977867, 0.953488, 0.977823, 0.952830, 0.978000, 0.958955, 0.980263, 0.933333, 0.972477, 1.000000, 0.978261, 0.974227, 0.955357, 
0.1, 0.966624, 0.955357, 0.977867, 0.938776, 0.977867, 0.944444, 0.977867, 0.948837, 0.977823, 0.948113, 0.978000, 0.955224, 0.980263, 0.933333, 0.972477, 1.000000, 0.978261, 0.974227, 0.955357, 
0.2, 0.962773, 0.946429, 0.975855, 0.931973, 0.975855, 0.938889, 0.975855, 0.944186, 0.975806, 0.938679, 0.976000, 0.947761, 0.978070, 0.933333, 0.963303, 1.000000, 0.978261, 0.971649, 0.946429, 
0.3, 0.960205, 0.946429, 0.971831, 0.931973, 0.971831, 0.938889, 0.971831, 0.944186, 0.971774, 0.938679, 0.972000, 0.947761, 0.973684, 0.933333, 0.963303, 1.000000, 0.978261, 0.966495, 0.946429, 
0.4, 0.951220, 0.892857, 0.969819, 0.891156, 0.969819, 0.905556, 0.969819, 0.916279, 0.969758, 0.915094, 0.970000, 0.925373, 0.971491, 0.933333, 0.963303, 1.000000, 0.978261, 0.963918, 0.892857, 
0.5, 0.940950, 0.875000, 0.965795, 0.870748, 0.965795, 0.883333, 0.965795, 0.897674, 0.965726, 0.891509, 0.964000, 0.910448, 0.964912, 0.933333, 0.954128, 1.000000, 0.978261, 0.958763, 0.875000, 
0.6, 0.931964, 0.857143, 0.959759, 0.857143, 0.959759, 0.872222, 0.959759, 0.888372, 0.959677, 0.877358, 0.958000, 0.895522, 0.958333, 0.916667, 0.954128, 1.000000, 0.978261, 0.951031, 0.857143, 
0.7, 0.917843, 0.821429, 0.951710, 0.829932, 0.951710, 0.844444, 0.951710, 0.865116, 0.951613, 0.853774, 0.950000, 0.876866, 0.949561, 0.866667, 0.944954, 1.000000, 0.978261, 0.945876, 0.821429, 
0.8, 0.905006, 0.821429, 0.935614, 0.823129, 0.935614, 0.838889, 0.935614, 0.855814, 0.935484, 0.844340, 0.934000, 0.869403, 0.932018, 0.850000, 0.944954, 0.933333, 0.978261, 0.935567, 0.821429, 
0.9, 0.896021, 0.821429, 0.929577, 0.816327, 0.929577, 0.827778, 0.929577, 0.841860, 0.929435, 0.830189, 0.928000, 0.854478, 0.927632, 0.850000, 0.926606, 0.933333, 0.934783, 0.927835, 0.821429, 
