rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 1, 1, 0, 14.1207, 63.4146, 0.0000, 0.0000, 3.7000, 35.9000, -32.2000
r2, 1, 1, 0, 18.2285, 63.5430, 0.0000, 0.0000, 4.8000, 35.9000, -31.1000
r3, 1, 1, 0, 22.7214, 63.5430, 0.0000, 0.0000, 5.7000, 35.9000, -30.2000
r4, 1, 1, 0, 26.8293, 63.4146, 0.0000, 0.0000, 6.4000, 35.9000, -29.5000
r5, 2, 1, 0, 5.6483, 16.8164, 0.0000, 0.0001, 8.6000, 33.0000, -24.4000
r6, 1, 1, 0, 36.3286, 63.7997, 0.2567, 0.0000, 7.0000, 35.9000, -28.9000
r7, 2, 2, 0, 30.2953, 19.6406, 0.0000, 0.0000, 6.4000, 29.8000, -23.4000
r8, 2, 1, 0, 6.1617, 6.1617, 0.0000, 0.2678, 31.0000, 31.2000, -0.2000
r9, 1, 1, 0, 12.4519, 9.6277, 0.0000, 0.0000, 32.3000, 3.7000, 28.6000
r10, 1, 1, 0, 47.3684, 14.1207, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
