time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
0.5, 0.995694, 1.000000, 0.991781, 1.000000, 0.991781, 0.996825, 0.994048, 0.991643, 1.000000, 0.996904, 0.996825, 0.997050, 0.994898, 
2.0, 0.994618, 1.000000, 0.989041, 1.000000, 0.989041, 0.996825, 0.992063, 0.988858, 1.000000, 0.993808, 0.996825, 0.997050, 0.993197, 
4.0, 0.993541, 1.000000, 0.986301, 1.000000, 0.986301, 0.996825, 0.990079, 0.986072, 1.000000, 0.990712, 0.996825, 0.997050, 0.991497, 
6.0, 0.991389, 1.000000, 0.983562, 1.000000, 0.983562, 0.993651, 0.988095, 0.983287, 1.000000, 0.990712, 0.993651, 0.994100, 0.989796, 
8.0, 0.990312, 1.000000, 0.983562, 0.997159, 0.983562, 0.993651, 0.988095, 0.983287, 1.000000, 0.990712, 0.993651, 0.994100, 0.988095, 
10.0, 0.989236, 1.000000, 0.980822, 0.997159, 0.980822, 0.993651, 0.986111, 0.980501, 1.000000, 0.987616, 0.993651, 0.991150, 0.988095, 
12.0, 0.988159, 1.000000, 0.978082, 0.997159, 0.978082, 0.993651, 0.984127, 0.977716, 1.000000, 0.987616, 0.993651, 0.991150, 0.986395, 
13.0, 0.987083, 1.000000, 0.975342, 0.997159, 0.975342, 0.993651, 0.982143, 0.974930, 1.000000, 0.984520, 0.993651, 0.991150, 0.984694, 
14.0, 0.986006, 0.996183, 0.975342, 0.994318, 0.975342, 0.990476, 0.982143, 0.974930, 0.996183, 0.984520, 0.990476, 0.991150, 0.982993, 
16.0, 0.982777, 0.992366, 0.969863, 0.991477, 0.969863, 0.987302, 0.978175, 0.969359, 0.992366, 0.981424, 0.987302, 0.988201, 0.979592, 
18.0, 0.979548, 0.988550, 0.969863, 0.985795, 0.969863, 0.984127, 0.978175, 0.969359, 0.988550, 0.981424, 0.984127, 0.985251, 0.976190, 
19.0, 0.978471, 0.988550, 0.967123, 0.985795, 0.967123, 0.984127, 0.976190, 0.966574, 0.988550, 0.978328, 0.984127, 0.985251, 0.974490, 
21.0, 0.976319, 0.988550, 0.961644, 0.985795, 0.961644, 0.984127, 0.972222, 0.961003, 0.988550, 0.975232, 0.984127, 0.979351, 0.974490, 
26.0, 0.975242, 0.988550, 0.958904, 0.985795, 0.958904, 0.984127, 0.970238, 0.958217, 0.988550, 0.972136, 0.984127, 0.979351, 0.972789, 
28.0, 0.974166, 0.988550, 0.956164, 0.985795, 0.956164, 0.984127, 0.968254, 0.955432, 0.988550, 0.969040, 0.984127, 0.976401, 0.972789, 
29.0, 0.973089, 0.988550, 0.953425, 0.985795, 0.953425, 0.984127, 0.966270, 0.952646, 0.988550, 0.965944, 0.984127, 0.976401, 0.971088, 
35.0, 0.969860, 0.988550, 0.950685, 0.982955, 0.950685, 0.984127, 0.962302, 0.949861, 0.988550, 0.962848, 0.984127, 0.973451, 0.967687, 
38.0, 0.966631, 0.984733, 0.945205, 0.980114, 0.945205, 0.980952, 0.958333, 0.944290, 0.984733, 0.956656, 0.980952, 0.970501, 0.964286, 
39.0, 0.965554, 0.984733, 0.945205, 0.980114, 0.945205, 0.980952, 0.956349, 0.944290, 0.984733, 0.953560, 0.980952, 0.970501, 0.962585, 
41.0, 0.963402, 0.984733, 0.942466, 0.980114, 0.942466, 0.980952, 0.952381, 0.941504, 0.984733, 0.953560, 0.980952, 0.967552, 0.960884, 
42.0, 0.961249, 0.984733, 0.939726, 0.977273, 0.939726, 0.980952, 0.950397, 0.938719, 0.984733, 0.950464, 0.980952, 0.964602, 0.959184, 
43.0, 0.958019, 0.984733, 0.931507, 0.977273, 0.931507, 0.980952, 0.944444, 0.930362, 0.984733, 0.950464, 0.980952, 0.961652, 0.955782, 
45.0, 0.956943, 0.984733, 0.928767, 0.977273, 0.928767, 0.980952, 0.942460, 0.927577, 0.984733, 0.947368, 0.980952, 0.961652, 0.954082, 
46.0, 0.954790, 0.984733, 0.923288, 0.977273, 0.923288, 0.980952, 0.938492, 0.922006, 0.984733, 0.941176, 0.980952, 0.958702, 0.952381, 
49.0, 0.953714, 0.984733, 0.920548, 0.977273, 0.920548, 0.980952, 0.936508, 0.919220, 0.984733, 0.938080, 0.980952, 0.958702, 0.950680, 
50.0, 0.952637, 0.984733, 0.917808, 0.977273, 0.917808, 0.980952, 0.934524, 0.916435, 0.984733, 0.934985, 0.980952, 0.955752, 0.950680, 
51.0, 0.951561, 0.984733, 0.917808, 0.974432, 0.917808, 0.980952, 0.934524, 0.916435, 0.984733, 0.934985, 0.980952, 0.955752, 0.948980, 
54.0, 0.951561, 0.984733, 0.917808, 0.974432, 0.917808, 0.980952, 0.934524, 0.916435, 0.984733, 0.934985, 0.980952, 0.955752, 0.948980, 
