time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
0.5, 0.994618, 0.991597, 1.000000, 0.987952, 1.000000, 1.000000, 0.988506, 1.000000, 0.988506, 0.994286, 1.000000, 1.000000, 0.995000, 0.997608, 0.995370, 
4.0, 0.993541, 0.988796, 1.000000, 0.985542, 1.000000, 1.000000, 0.986207, 1.000000, 0.986207, 0.994286, 0.996466, 0.995283, 0.995000, 0.995215, 0.995370, 
6.0, 0.991389, 0.985994, 1.000000, 0.980723, 1.000000, 1.000000, 0.981609, 1.000000, 0.981609, 0.991429, 0.996466, 0.995283, 0.995000, 0.995215, 0.995370, 
8.0, 0.990312, 0.985994, 1.000000, 0.980723, 0.997436, 1.000000, 0.981609, 0.997183, 0.981609, 0.991429, 0.996466, 0.995283, 0.995000, 0.992823, 0.995370, 
10.0, 0.989236, 0.983193, 1.000000, 0.978313, 0.997436, 1.000000, 0.979310, 0.997183, 0.979310, 0.991429, 0.996466, 0.995283, 0.995000, 0.990431, 0.995370, 
12.0, 0.988159, 0.980392, 1.000000, 0.975904, 0.997436, 1.000000, 0.977011, 0.997183, 0.977011, 0.991429, 0.996466, 0.995283, 0.995000, 0.990431, 0.995370, 
13.0, 0.987083, 0.977591, 1.000000, 0.973494, 0.997436, 1.000000, 0.974713, 0.997183, 0.974713, 0.991429, 0.992933, 0.995283, 0.995000, 0.988038, 0.995370, 
14.0, 0.984930, 0.974790, 0.996198, 0.971084, 0.994872, 0.996198, 0.972414, 0.994366, 0.972414, 0.988571, 0.992933, 0.995283, 0.990000, 0.988038, 0.990741, 
16.0, 0.982777, 0.971989, 0.992395, 0.968675, 0.992308, 0.992395, 0.970115, 0.991549, 0.970115, 0.985714, 0.992933, 0.995283, 0.990000, 0.988038, 0.990741, 
18.0, 0.980624, 0.971989, 0.992395, 0.966265, 0.989744, 0.992395, 0.967816, 0.988732, 0.967816, 0.985714, 0.992933, 0.995283, 0.990000, 0.983254, 0.990741, 
19.0, 0.979548, 0.969188, 0.992395, 0.963855, 0.989744, 0.992395, 0.965517, 0.988732, 0.965517, 0.985714, 0.992933, 0.995283, 0.990000, 0.980861, 0.990741, 
21.0, 0.977395, 0.963585, 0.992395, 0.959036, 0.989744, 0.992395, 0.960920, 0.988732, 0.960920, 0.982857, 0.989399, 0.990566, 0.990000, 0.978469, 0.990741, 
26.0, 0.976319, 0.960784, 0.992395, 0.956627, 0.989744, 0.992395, 0.958621, 0.988732, 0.958621, 0.982857, 0.989399, 0.990566, 0.990000, 0.976077, 0.990741, 
28.0, 0.975242, 0.957983, 0.992395, 0.954217, 0.989744, 0.992395, 0.956322, 0.988732, 0.956322, 0.982857, 0.985866, 0.985849, 0.990000, 0.973684, 0.990741, 
29.0, 0.974166, 0.955182, 0.992395, 0.951807, 0.989744, 0.992395, 0.954023, 0.988732, 0.954023, 0.982857, 0.985866, 0.985849, 0.990000, 0.971292, 0.990741, 
35.0, 0.970936, 0.952381, 0.992395, 0.949398, 0.984615, 0.992395, 0.951724, 0.985915, 0.951724, 0.982857, 0.982332, 0.981132, 0.990000, 0.966507, 0.990741, 
38.0, 0.967707, 0.946779, 0.988593, 0.944578, 0.982051, 0.988593, 0.947126, 0.983099, 0.947126, 0.980000, 0.978799, 0.976415, 0.985000, 0.961722, 0.986111, 
39.0, 0.966631, 0.946779, 0.988593, 0.944578, 0.979487, 0.988593, 0.947126, 0.983099, 0.947126, 0.980000, 0.975265, 0.971698, 0.985000, 0.959330, 0.986111, 
41.0, 0.965554, 0.943978, 0.988593, 0.942169, 0.979487, 0.988593, 0.944828, 0.983099, 0.944828, 0.977143, 0.975265, 0.971698, 0.985000, 0.959330, 0.986111, 
42.0, 0.963402, 0.941176, 0.988593, 0.939759, 0.976923, 0.988593, 0.942529, 0.980282, 0.942529, 0.977143, 0.971731, 0.971698, 0.985000, 0.954545, 0.986111, 
43.0, 0.960172, 0.932773, 0.988593, 0.932530, 0.976923, 0.988593, 0.935632, 0.980282, 0.935632, 0.977143, 0.971731, 0.971698, 0.985000, 0.954545, 0.986111, 
45.0, 0.959096, 0.929972, 0.988593, 0.930120, 0.976923, 0.988593, 0.933333, 0.980282, 0.933333, 0.977143, 0.968198, 0.971698, 0.985000, 0.952153, 0.986111, 
46.0, 0.958019, 0.927171, 0.988593, 0.927711, 0.976923, 0.988593, 0.931034, 0.980282, 0.931034, 0.977143, 0.964664, 0.966981, 0.985000, 0.949761, 0.986111, 
49.0, 0.956943, 0.924370, 0.988593, 0.925301, 0.976923, 0.988593, 0.928736, 0.980282, 0.928736, 0.977143, 0.964664, 0.966981, 0.985000, 0.949761, 0.981481, 
51.0, 0.955867, 0.924370, 0.988593, 0.925301, 0.974359, 0.988593, 0.928736, 0.977465, 0.928736, 0.977143, 0.964664, 0.966981, 0.985000, 0.947368, 0.981481, 
54.0, 0.955867, 0.924370, 0.988593, 0.925301, 0.974359, 0.988593, 0.928736, 0.977465, 0.928736, 0.977143, 0.964664, 0.966981, 0.985000, 0.947368, 0.981481, 
60.0, 0.954789, 0.921569, 0.988593, 0.922892, 0.974359, 0.988593, 0.926437, 0.977465, 0.926437, 0.977143, 0.964664, 0.966981, 0.985000, 0.947368, 0.981481, 
64.0, 0.953711, 0.918768, 0.988593, 0.920482, 0.974359, 0.988593, 0.924138, 0.977465, 0.924138, 0.977143, 0.961131, 0.962264, 0.985000, 0.944976, 0.981481, 
65.0, 0.952634, 0.915966, 0.988593, 0.918072, 0.974359, 0.988593, 0.921839, 0.977465, 0.921839, 0.977143, 0.961131, 0.962264, 0.985000, 0.944976, 0.981481, 
67.0, 0.950478, 0.913165, 0.988593, 0.915663, 0.971795, 0.988593, 0.919540, 0.977465, 0.919540, 0.974277, 0.957597, 0.957547, 0.985000, 0.942584, 0.976852, 
