time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
0.5, 0.995694, 0.989691, 1.000000, 0.991549, 1.000000, 0.990220, 1.000000, 1.000000, 0.991549, 1.000000, 0.991690, 0.996988, 1.000000, 0.995392, 1.000000, 0.996743, 0.997159, 
2.0, 0.994618, 0.986254, 1.000000, 0.988732, 1.000000, 0.987775, 1.000000, 1.000000, 0.988732, 1.000000, 0.988920, 0.996988, 0.996377, 0.990783, 1.000000, 0.993485, 0.997159, 
6.0, 0.992465, 0.982818, 1.000000, 0.985915, 1.000000, 0.982885, 1.000000, 1.000000, 0.985915, 1.000000, 0.986150, 0.993976, 0.996377, 0.990783, 1.000000, 0.993485, 0.991477, 
8.0, 0.991389, 0.982818, 1.000000, 0.985915, 1.000000, 0.982885, 0.997859, 1.000000, 0.985915, 0.997183, 0.986150, 0.993976, 0.996377, 0.990783, 1.000000, 0.990228, 0.991477, 
10.0, 0.990312, 0.979381, 1.000000, 0.983099, 1.000000, 0.980440, 0.997859, 1.000000, 0.983099, 0.997183, 0.983380, 0.993976, 0.996377, 0.986175, 1.000000, 0.986971, 0.991477, 
12.0, 0.989236, 0.975945, 1.000000, 0.980282, 1.000000, 0.977995, 0.997859, 1.000000, 0.980282, 0.997183, 0.980609, 0.993976, 0.996377, 0.986175, 1.000000, 0.986971, 0.991477, 
13.0, 0.988159, 0.972509, 1.000000, 0.977465, 1.000000, 0.975550, 0.997859, 1.000000, 0.977465, 0.997183, 0.977839, 0.993976, 0.992754, 0.986175, 1.000000, 0.986971, 0.991477, 
14.0, 0.986006, 0.969072, 0.996283, 0.974648, 0.996283, 0.973105, 0.995717, 0.996124, 0.974648, 0.994366, 0.975069, 0.990964, 0.992754, 0.986175, 0.995851, 0.986971, 0.988636, 
16.0, 0.982777, 0.962199, 0.992565, 0.969014, 0.992565, 0.968215, 0.993576, 0.992248, 0.969014, 0.991549, 0.969529, 0.987952, 0.989130, 0.981567, 0.995851, 0.983713, 0.985795, 
18.0, 0.979548, 0.962199, 0.988848, 0.969014, 0.988848, 0.965770, 0.989293, 0.988372, 0.969014, 0.985915, 0.969529, 0.984940, 0.989130, 0.976959, 0.991701, 0.980456, 0.982955, 
19.0, 0.978471, 0.962199, 0.988848, 0.966197, 0.988848, 0.963325, 0.989293, 0.988372, 0.966197, 0.985915, 0.966759, 0.984940, 0.989130, 0.976959, 0.991701, 0.977199, 0.982955, 
21.0, 0.977395, 0.958763, 0.988848, 0.963380, 0.988848, 0.960880, 0.989293, 0.988372, 0.963380, 0.985915, 0.963989, 0.981928, 0.989130, 0.976959, 0.991701, 0.977199, 0.982955, 
26.0, 0.976319, 0.955326, 0.988848, 0.960563, 0.988848, 0.958435, 0.989293, 0.988372, 0.960563, 0.985915, 0.961219, 0.981928, 0.989130, 0.972350, 0.991701, 0.973941, 0.982955, 
28.0, 0.975242, 0.951890, 0.988848, 0.957746, 0.988848, 0.955990, 0.989293, 0.988372, 0.957746, 0.985915, 0.958449, 0.981928, 0.985507, 0.967742, 0.991701, 0.970684, 0.982955, 
29.0, 0.974166, 0.948454, 0.988848, 0.954930, 0.988848, 0.953545, 0.989293, 0.988372, 0.954930, 0.985915, 0.955679, 0.981928, 0.985507, 0.963134, 0.991701, 0.967427, 0.982955, 
35.0, 0.970936, 0.945017, 0.988848, 0.952113, 0.988848, 0.951100, 0.985011, 0.988372, 0.952113, 0.983099, 0.952909, 0.981928, 0.981884, 0.953917, 0.991701, 0.960912, 0.982955, 
38.0, 0.967707, 0.938144, 0.985130, 0.946479, 0.985130, 0.946210, 0.982869, 0.984496, 0.946479, 0.980282, 0.947368, 0.978916, 0.978261, 0.944700, 0.987552, 0.954397, 0.980114, 
39.0, 0.966631, 0.938144, 0.985130, 0.946479, 0.985130, 0.946210, 0.980728, 0.984496, 0.946479, 0.980282, 0.947368, 0.978916, 0.974638, 0.944700, 0.987552, 0.951140, 0.980114, 
41.0, 0.965554, 0.938144, 0.985130, 0.946479, 0.985130, 0.946210, 0.978587, 0.984496, 0.946479, 0.980282, 0.947368, 0.975904, 0.974638, 0.944700, 0.987552, 0.951140, 0.980114, 
42.0, 0.963402, 0.934708, 0.985130, 0.943662, 0.985130, 0.943765, 0.976445, 0.984496, 0.943662, 0.977465, 0.944598, 0.975904, 0.971014, 0.944700, 0.987552, 0.947883, 0.980114, 
43.0, 0.961249, 0.927835, 0.985130, 0.938028, 0.985130, 0.938875, 0.976445, 0.984496, 0.938028, 0.977465, 0.939058, 0.975904, 0.971014, 0.944700, 0.987552, 0.947883, 0.980114, 
45.0, 0.960172, 0.924399, 0.985130, 0.935211, 0.985130, 0.936430, 0.976445, 0.984496, 0.935211, 0.977465, 0.936288, 0.975904, 0.967391, 0.944700, 0.987552, 0.947883, 0.980114, 
46.0, 0.958019, 0.920962, 0.985130, 0.929577, 0.985130, 0.931540, 0.976445, 0.984496, 0.929577, 0.977465, 0.930748, 0.975904, 0.963768, 0.940092, 0.987552, 0.941368, 0.980114, 
49.0, 0.955867, 0.914089, 0.985130, 0.923944, 0.985130, 0.926650, 0.976445, 0.984496, 0.923944, 0.977465, 0.925208, 0.975904, 0.960145, 0.940092, 0.987552, 0.941368, 0.980114, 
50.0, 0.954790, 0.910653, 0.985130, 0.921127, 0.985130, 0.924205, 0.976445, 0.984496, 0.921127, 0.977465, 0.922438, 0.975904, 0.960145, 0.935484, 0.987552, 0.938111, 0.980114, 
51.0, 0.953714, 0.910653, 0.985130, 0.921127, 0.985130, 0.924205, 0.974304, 0.984496, 0.921127, 0.974648, 0.922438, 0.975904, 0.960145, 0.930876, 0.987552, 0.934853, 0.980114, 
54.0, 0.953714, 0.910653, 0.985130, 0.921127, 0.985130, 0.924205, 0.974304, 0.984496, 0.921127, 0.974648, 0.922438, 0.975904, 0.960145, 0.930876, 0.987552, 0.934853, 0.980114, 
60.0, 0.952636, 0.907216, 0.985130, 0.918310, 0.985130, 0.921760, 0.974304, 0.984496, 0.918310, 0.974648, 0.919668, 0.975904, 0.960145, 0.930876, 0.987552, 0.934853, 0.980114, 
63.0, 0.951558, 0.903780, 0.985130, 0.915493, 0.985130, 0.919315, 0.974304, 0.984496, 0.915493, 0.974648, 0.916898, 0.975904, 0.960145, 0.926267, 0.987552, 0.931596, 0.980114, 
64.0, 0.950481, 0.900344, 0.985130, 0.912676, 0.985130, 0.916870, 0.974304, 0.984496, 0.912676, 0.974648, 0.914127, 0.975904, 0.956522, 0.921659, 0.987552, 0.928339, 0.980114, 
65.0, 0.949403, 0.896907, 0.985130, 0.909859, 0.985130, 0.914425, 0.974304, 0.984496, 0.909859, 0.974648, 0.911357, 0.975904, 0.956522, 0.921659, 0.987552, 0.928339, 0.980114, 
67.0, 0.947248, 0.893471, 0.985130, 0.907042, 0.985130, 0.911980, 0.972158, 0.984496, 0.907042, 0.974648, 0.908587, 0.972882, 0.952899, 0.917051, 0.987552, 0.925081, 0.980114, 
70.0, 0.946170, 0.893471, 0.985130, 0.907042, 0.985130, 0.911980, 0.970012, 0.984496, 0.907042, 0.974648, 0.908587, 0.969861, 0.952899, 0.917051, 0.987552, 0.925081, 0.980114, 
73.0, 0.945093, 0.890034, 0.985130, 0.904225, 0.985130, 0.909535, 0.970012, 0.984496, 0.904225, 0.974648, 0.905817, 0.969861, 0.952899, 0.917051, 0.987552, 0.925081, 0.980114, 
